"id_evento","data_publicacao","fonte","titulo","pagina","municipio","localidade","tipo_camada","dimensao_analitica","tipo_relacao_variavel","codigo_variavel","nivel_criticidade","observacao","nota_analista","cod_loteamento","nivel_confianca_loteamento","papel_no_ciclo","id_caso_pressao","entra_ipst","relevancia_estrategica","data_classificacao","_qrt_aproximacao_variavel","_linha_suspeita","_arquivo","_qrt_data_edicao","_qrt_numero_edicao","_qrt_evento_id","_qrt_relevancia","_qrt_descricao_evento","_qrt_fonte_arquivo","_qrt_status_validacao","_qrt_data","_qrt_item","_qrt_resumo","_qrt_origem","_qrt_municipio_impactado","_qrt_tipo_abrangencia","_qrt_\xEF\xBB\xBF""id_evento"""
"TL_20251227_001","2025-12-27","Tribuna Liberal","SSP investiga denúncia de agressão de PM a adolescente em Hortolândia","8","Hortolândia","Vila Real","PRESSAO_SOCIAL","seguranca_publica","direta","SEG_ABORDAGEM_POLICIAL_2025","alta","denuncia_abordagem_policial","Denúncia de possível agressão de policial militar contra adolescente durante abordagem no bairro Vila Real; caso informado como em apuração pela SSP-SP.","VILA_REAL","medio","emergencia","SEG_ABORDAGEM_POLICIAL_2025","sim","alta","2025-12-27","violencia_institucional","","2025_12_27_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20251227_002","2025-12-27","Tribuna Liberal","Apreensão de drogas em operação policial","5","Hortolândia","nao_identificado","PRESSAO_SOCIAL","capital_humano","indireta","SMIDS_EXT","alta","sinal_smids_ext","""Evento criminal com possível recorrência, mas ainda não estruturado em série""","nao_identificado","baixo","emergencia","","avaliar","media","2025-12-27","","","2025_12_27_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20251227_003","2025-12-27","Tribuna Liberal","Homicídio registrado no município","5","Hortolândia","nao_identificado","PRESSAO_SOCIAL","capital_humano","direta","SMIDS_EXT","alerta","sinal_smids_ext","Violência letal com impacto direto e candidato a série","nao_identificado","baixo","emergencia","","avaliar","media","2025-12-27","","","2025_12_27_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20251227_004","2025-12-27","Tribuna Liberal","Violência doméstica em bairro da cidade","5","Hortolândia","nao_identificado","PRESSAO_SOCIAL","capital_humano","indireta","SMIDS_EXT","alta","aproximacao_variavel","Evento alinhado à série de violência de gênero","nao_identificado","baixo","emergencia","CH_VIOLENCIA_GENERO_2025","avaliar","media","2025-12-27","CH_VIOLENCIA_GENERO","","2025_12_27_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20251228_001","2025-12-28","Tribuna Liberal","Sumaré e Hortolândia terão 50,3 mil beneficiados com isenção de IPVA para motos","9","Hortolândia","Hortolândia","GOVERNANCA","renda_trabalho","indireta","GOV_ESTADUAL","media","dado_auditavel","Medida estadual com impacto potencial sobre renda disponível de trabalhadores que utilizam motocicleta, especialmente entregadores, autônomos e pessoas físicas; matéria informa 21,6 mil motos isentas em Hortolândia a partir de 2026.","nao_identificado","baixa","beneficio_economico_indireto","RT_ISENCAO_IPVA_MOTOS_2026","nao","media","2025-12-28","isencao_ipva_motos_ate_180cc","","2025_12_28_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20251228_002","2025-12-28","Tribuna Liberal","Zezé afirma que Hortolândia passa por transformação ambiental profunda","5","Hortolândia","Hortolândia","GOVERNANCA","infraestrutura_urbana","indireta","GOV_MUNICIPAL","baixa","contexto_sociopolitico","Parques socioambientais","21 usinas solares em prédios públicos","frota elétrica prevista 2026","Município Verde Azul 11ª posição SP","1ª etapa Parque Jd. Amanda entregue 19/12/2025","nao","media","2025-12-28","","","2025_12_28_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20251228_003","2025-12-28","Tribuna Liberal","Hortolândia torna público planejamento orçamentário para próximos quatro anos - PPA 2026-2029","7","Hortolândia","Hortolândia","GOVERNANCA","infraestrutura_urbana","indireta","GOV_MUNICIPAL","media","dado_auditavel","""R$347,3mi total 4 anos"",""R$20","6mi tesouro municipal""","11 escolas ampliadas","4 reformas UPA/UBS","2 UBS novas","3 CAPs","media","2025-12-28","","","2025_12_28_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20251228_004","2025-12-28","Tribuna Liberal","Campo da Mina no Jardim Amanda voltará a receber jogos oficiais em 2026","9","Hortolândia","Jardim Amanda","GOVERNANCA","capital_humano","indireta","GOV_MUNICIPAL","baixa","contexto_sociopolitico","50% execução","vestiários modernos","grama esmeralda","complexo inclui campo society + quadra poliesportiva + playground + academia ao ar livre","secretário Gleguer Zorzin","351","media","2025-12-28","","","2025_12_28_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20251229_001","2025-12-29","Tribuna Liberal","Canalização de córrego em Hortolândia utiliza tecnologia que resguarda lagoa","7","Hortolândia","Jardim Amanda","GOVERNANCA","infraestrutura_urbana","indireta","GOV_MUNICIPAL","media","contexto_sociopolitico","Bolsacreto (geotêxtil),""5 · erosão contida","10m córrego canalizados""","proteção lagoa Parque Socioambiental","EMEF Tarsila do Amaral","","Parque = 385.000m² total quando concluído","media","2025-12-29","","","2025_12_29_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20251229_002","2025-12-29","Tribuna Liberal","Hortolândia monitora adequação de guarda-corpos para liberar viaduto da Vila Real","5","Hortolândia","Vila Real","GOVERNANCA","infraestrutura_urbana","indireta","GOV_MUNICIPAL","baixa","contexto_sociopolitico","11 mil → 30 mil veículos/dia projetados","Rumo Logística responsável pela obra","galeria subterrânea rompida no Lago da Fé","revitalização Praça Igreja Matriz e centro histórico previstas","63","medio","media","2025-12-29","","","2025_12_29_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20251229_003","2025-12-29","Tribuna Liberal","Estrada Pedrina Guilherme terá 2,3 km de asfalto recuperado em Hortolândia","7","Hortolândia","Chácaras Recreio Alvorada","GOVERNANCA","infraestrutura_urbana","indireta","GOV_MUNICIPAL","baixa","contexto_sociopolitico","Obra prevê 1,2 km de recapeamento, 740 m de duplicação e 1,1 km executado pela Prefeitura; intervenção melhora acesso aos bairros Taquara Branca e Jardim Firenze.","CHACARAS_RECREIO_ALVORADA","media","resposta_estrutural","IU_MOBILIDADE_ESTRADAS_2025","avaliar","media","2025-12-29","contrapartida_microsoft_datacenters","","2025_12_29_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20251229_004","2025-12-29","Tribuna Liberal","Homem é esfaqueado próximo a supermercado do Jardim Amanda II","8","Hortolândia","Jardim Amanda II","PRESSAO_SOCIAL","capital_humano","direta","SMIDS_EXT","alerta","dado_auditavel","Esfaqueamento após desentendimento em via pública · Polícia Civil investiga","SAMU acionado","vítima encaminhada UPA","identidade preservada","","2º evento violento na área Jd. Amanda no corpus - E04 tráfico já registrado","media","2025-12-29","","","2025_12_29_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20251229_005","2025-12-29","Tribuna Liberal","Açougue é autuado por carne imprópria e fraude de energia no Jardim Amanda I","8","Hortolândia","Jardim Amanda","PRESSAO_SOCIAL","capital_humano","direta","SMIDS_EXT","alta","dado_auditavel","Operação Polícia Civil + CPFL · responsável preso e liberado por fiança","fraude medidor energia","carne vencida + sem rotulagem + descongelamento irregular","Vigilância Sanitária","","evento pontual - não configura série ainda","media","2025-12-29","","","2025_12_29_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20251230_001","2025-12-30","Tribuna Liberal","Homem é assassinado a tiros durante saidinha temporária em Hortolândia","9","Hortolândia","Jardim Campos Verdes","PRESSAO_SOCIAL","capital_humano","direta","SMIDS_EXT","alerta","dado_auditavel","20 disparos · SSP registrou 9 assassinatos Hortolândia jan-nov 2025 - dado interno da matéria sustenta agravamento (R20)","possível execução","Rua Geraldo Teixeira Lopes","vítima beneficiada por saidinha temporária","","Polícia Civil investiga autoria","media","2025-12-30","","","2025_12_30_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20251230_002","2025-12-30","Tribuna Liberal","Comércio de Hortolândia cresce mais de 270% e impulsiona economia local","7","Hortolândia","Hortolândia","GOVERNANCA","renda_trabalho","indireta","GOV_MUNICIPAL","media","dado_auditavel","8.534 comércios dez/2025 vs 2.281 em 2016 (+274%) · 5 novas unidades/dia","24 mil trabalhadores","renda média R$3 mil/mês per capita","evasão massa salarial para municípios vizinhos","","feiras noturnas 125 famílias R$500mil/mês","media","2025-12-30","","","2025_12_30_tribuna_liberal.csv","","","","","","","","","","","","","",""
