"arquivo","schema_original","separador_original","n_linhas","status","avisos"
"2025_12_27_tribuna_liberal.csv","v10",",","4","OK",""
"2025_12_28_tribuna_liberal.csv","v10",",","4","OK",""
"2025_12_29_tribuna_liberal.csv","v10",",","5","OK",""
"2025_12_30_tribuna_liberal.csv","v10",",","2","OK",""
"2025_12_31_tribuna_liberal.csv","v10",",","7","OK",""
"2026_01_17_tribuna_liberal.csv","v10",",","7","OK",""
"2026_01_24_tribuna_liberal.csv","v10",",","4","OK",""
"2026_01_30_tribuna_liberal.csv","v10",",","3","OK",""
"2026_03_01_tribuna_liberal.csv","v10",";","3","AVISOS","L1: DATA INCORRETA: '03/01/2026' corrigida para 2026-03-01 || L2: DATA INCORRETA: '03/01/2026' corrigida para 2026-03-01 || L3: DATA INCORRETA: '03/01/2026' corrigida para 2026-03-01"
"2026_03_03_tribuna_liberal.csv","v10",",","5","OK",""
