;d.nom_localidade_fam;RT_01;RT_04;RT_05;CH_02;CH_03;CH_05;CH_06;CH_07;CH_08;IU_01;IU_02;RT_H;CH_H;IU_H;IVS_H;classificacao
1;CHACARA LUZITANA;0.5909090909090909;0.9285714285714286;0.0;;;0.21739130434782608;0.20588235294117646;0.4;;0.08;0.0;0.5064935064935066;0.2744245524296675;0.04;0.3390505198126682;Medio
2;CHACARAS REYMAR;0.7692307692307693;;;;;0.0;0.0;;;0.1;0.0;0.7692307692307693;0.0;0.05;0.33826923076923077;Medio
3;CHACARAS PLANALTO;0.7083333333333334;;;;;0.09090909090909091;0.058823529411764705;;;0.0;0.0;0.7083333333333334;0.0748663101604278;0.0;0.336027183600713;Medio
4;CHACARAS ASSAY;0.7142857142857143;1.0;0.0;0.9090909090909091;0.0;0.05555555555555555;0.07692307692307693;0.15384615384615385;0.05263157894736842;0.0;0.0;0.5714285714285715;0.20800787906051063;0.0;0.33307759491970024;Medio
5;JARDIM NOVA HORTOLANDIA I;0.7983193277310925;1.0;0.0;0.5238095238095238;0.0;0.14634146341463414;0.07462686567164178;0.1346153846153846;0.0;0.024390243902439025;0.0;0.5994397759103641;0.14656553958519739;0.012195121951219513;0.32114589855992237;Medio
6;JARDIM SANTA CLARA DO LAGO II;0.6923076923076923;1.0;0.0;0.6;0.0;0.10204081632653061;0.14102564102564102;0.10256410256410256;0.17647058823529413;0.0;0.0;0.5641025641025641;0.18701685802526136;0.0;0.3211111829347123;Medio
7;JARDIM SANTA FE;0.720173535791757;0.9024390243902439;0.0;0.5957446808510638;0.0;0.10526315789473684;0.10410094637223975;0.1597222222222222;0.056338028169014086;0.09947643979057591;0.005235602094240838;0.5408708533940003;0.1701948392515461;0.05235602094240838;0.31190970258643075;Medio
8;JARDIM PRIMAVERA;0.7689562890276539;0.82;0.0;0.5564516129032258;0.004219409282700422;0.1507177033492823;0.1368421052631579;0.21052631578947367;0.12396694214876033;0.0117096018735363;0.00468384074941452;0.5296520963425513;0.19712068145610007;0.00819672131147541;0.31177059583558037;Medio
9;JARDIM BOA ESPERANCA;0.7355694227769111;0.874251497005988;0.0;0.5589225589225589;0.011320754716981131;0.1279527559055118;0.1180195739781232;0.18742442563482467;0.10232558139534884;0.03696498054474708;0.009727626459143969;0.5366069732609664;0.1843276084255581;0.023346303501945526;0.31166053956624173;Medio
10;JARDIM LARANJEIRAS;0.7246376811594203;1.0;0.0;;0.0;0.30434782608695654;0.10638297872340426;0.22727272727272727;0.09090909090909091;0.041666666666666664;0.0;0.5748792270531401;0.1457825245984358;0.020833333333333332;0.3115517279641933;Medio
11;LOTEAMENTO RECANTO DO SOL;0.7739130434782608;0.8333333333333334;0.0;0.5909090909090909;0.0;0.11627906976744186;0.11320754716981132;0.09859154929577464;0.12195121951219512;0.06896551724137931;0.022988505747126436;0.5357487922705314;0.17348974610905232;0.04597701149425287;0.3101342257662684;Medio
12;RESIDENCIAL RECANTO DO SOL;0.7113095238095238;0.918918918918919;0.0;0.5333333333333333;0.014705882352941176;0.07633587786259542;0.09865470852017937;0.21238938053097345;0.05454545454545454;0.05223880597014925;0.029850746268656716;0.5434094809094809;0.16499410619091287;0.041044776119402986;0.30912031780917065;Medio
13;JARDIM DAS FIGUEIRAS II;0.7720588235294118;0.9090909090909091;0.0;0.5714285714285714;0.034482758620689655;0.08;0.023255813953488372;0.06;0.2;0.0;0.0;0.5603832442067737;0.16152785733379157;0.0;0.3088064950891051;Medio
14;PARQUE TERRAS DE SANTA MARIA;0.6666666666666666;0.9333333333333333;0.0;0.7;0.0;0.08064516129032258;0.05825242718446602;0.1774193548387097;0.11764705882352941;0.0;0.0;0.5333333333333333;0.18899400035617128;0.0;0.3087108134829253;Medio
15;JARDIM AMANDA II;0.7113857016769638;0.9513513513513514;0.0;0.5408805031446541;0.020833333333333332;0.06540084388185655;0.0959079283887468;0.1168091168091168;0.13815789473684212;0.0041928721174004195;0.0;0.5542456843427718;0.16299827004909162;0.0020964360587002098;0.30709938309681534;Medio
