d.nom_localidade_fam;n
JARDIM AMANDA;85
JARDIM NOVA EUROPA;36
JARDIM BOA ESPERANCA;29
JARDIM NOVA AMERICA;21
JARDIM NOVA HORTOLANDIA;20
JARDIM NOVO ANGULO;17
JARDIM AMANDA 2;14
JARDIM NOSSA SENHORA AUXILIADORA;11
JARDIM SAO SEBASTIAO;11
PARQUE DO HORTO;10
VILA REAL;10
REMANSO CAMPINEIRO;10
JARDIM NOVO ESTRELA;9
JARDIM PRIMAVERA;9
JARDIM CAMPOS VERDES;9
JARDIM NOSSA SENHORA DE FATIMA;9
JARDIM SAO JORGE;9
PARQUE ORESTES ONGARO;9
JARDIM AMANDA 1;8
JARDIM CONCEICAO;8
JARDIM INTERLAGOS;8
JARDIM SAO BENTO;8
JARDIM BRASIL;8
JARDIM NOVO CAMBUI;8
JARDIM SANTA CLARA DO LAGO;7
JARDIM AMANDA II;7
VILA REAL CONTINUACAO;7
RESIDENCIAL ANAUA;6
JARDIM SUMAREZINHO;6
JARDIM TERRAS DE SANTO ANTONIO;6
NOVO ANGULO;6
JARDIM DO BOSQUE;6
JARDIM MINDA;6
RECANTO DO SOL;5
JARDIM SANTA IZABEL;5
JARDIM MONTE SINAI;5
JARDIM SANTA ESMERALDA;5
JARDIM ADELAIDE;5
VILA INEMA;5
PARQUE DOS PINHEIROS;5
JARDIM ROSOLEN;4
JARDIM NOVO HORIZONTE;4
JARDIM SANTIAGO;4
JARDIM SANTA RITA DE CASSIA;4
JARDIM DAS LARANJEIRAS;4
PARQUE TERRAS DE SANTA MARIA;4
RESIDENCIAL RECANTO DO SOL;4
JARDIM SANTA CLARA DO LAGO I;4
SANTA EMILIA;4
PARQUE PERON;4
VILA SAO PEDRO;4
LOTEAMENTO RECANTO DO SOL;3
VILA GUEDES;3
VILA DA CONQUISTA;3
JARDIM SANTANA;3
JARDIM AMANDA I;3
JARDIM SANTA FE;3
VILA AMERICA;3
JARDIM EVEREST;3
PARQUE ORESTE ONGARO;3
NUCLEO SANTA IZABEL;3
JARDIM DAS FLORES;3
JARDIM MIRANTE DE SUMARE;3
VILAGIO GHIRALDELLI;2
PARQUE SANTO ANDRE;2
JARDIM VILLAGIO GHIRALDELLI;2
CHACARA REYMAR;2
MONTE SINAI;2
JARDIM SAO PEDRO;2
RESIDENCIAL JOAO LUIZ;2
JARDIM SAO CAMILO;2
NOVA AMERICA;2
JARDIM DO LAGO;2
PARQUE GABRIEL;2
JARDIM AUXILIADORA;2
FURLAN;2
JARDIM MALTA;2
JARDIM ALINE;2
JARDIM SANTA CANDIDA;2
JARDIM ROSOLEM;2
JARDIM RICARDO;2
CHACARA FAZENDA COELHO;2
JARDIM REMANSO CAMPINEIRO;2
PARQUE ORTOLANDIA;2
PARQUE MARIA DE LOURDES;1
PARQUE ODIMAR;1
SANTA AMELIA;1
PARQUE RESIDENCIAL MARIA DE LOURDES;1
VILA SAO FRANCISCO;1
RESIDENCIAL RECANTO DE SOL;1
PARQUE SAO MIGUEL;1
VILA CONQUISTA;1
SAO MIGUEL;1
SANTA RITA DE CASSIA;1
RESIDENCIAL BELLA VILLE;1
SANTA CLARA;1
RESIDENCIAL BELLAVILLE;1
RESIDENCIAL FURLAN;1
RESIDENCIAL VECCON BURITI;1
ADVENTISTA CAMPINEIRO;1
PARQUE BELLA VILLE;1
NUCLEO RESIDENCIAL FURLAN;1
JARDIM FIGUEIRAS I;1
JARDIM DAS FIGUEIRAS II;1
JARDIM DAS FIGUEIRAS 2;1
JARDIM DAS FIGUEIRAS;1
JARDIM BOA ESPERANA;1
JARDIM BELA VISTA;1
JARDIM AMNADA;1
CONJUNTO HABITACIONAL JARDIM PRIMAVERA;1
CHACARAS PLANALTO;1
CHACARAS ASSAY;1
CHACARA RECREIO ALVORADA;1
CHACARA NOVA BOA VISTA;1
CHACARA HAVAI;1
CHACARA BOA VISTA;1
CHACARA ASSAY;1
JARDIM FIGUEIRAS II;1
JARDIM GHIRALDELLI;1
JARDIM GIRASSOL;1
JARDIM SAO BENEDITO;1
NUCLEO RESIDENCIAL FURLA;1
NOVA HORTOLANDIA;1
LOTEAMENTO NOVA ALVORADA;1
LOT NOVO ANGULO;1
JD AMANDA 1;1
JARIM NOVA HORTOLANDIA;1
JARDIM SANTA RITA;1
JARDIM MIRANTE;1
BOA ESPERANCA;1
JARDIM SANTA EMILIA;1
JARDIM RESIDENCIAL VECCON BURITI;1
JARDIM NOVA HORTOLANDIA I;1
JARDIM NOSSA AUXILIADORA;1
JARDIM MSANTA CLARA DO LAGO;1
VILLA FLORA;1
