d.nom_localidade_fam;total;fora_escola;ch03_pct
JARDIM AMANDA;1883;123;0.06532129580456718
JARDIM NOSSA SENHORA DE FATIMA;196;20;0.10204081632653061
JARDIM CAMPOS VERDES;195;16;0.08205128205128205
JARDIM NOVA AMERICA;349;16;0.045845272206303724
JARDIM NOVO ANGULO;469;15;0.031982942430703626
JARDIM MINDA;251;15;0.05976095617529881
JARDIM NOVA HORTOLANDIA;398;15;0.03768844221105527
JARDIM ADELAIDE;240;14;0.058333333333333334
PARQUE GABRIEL;69;14;0.2028985507246377
JARDIM NOVA EUROPA;392;14;0.03571428571428571
JARDIM SANTA CLARA DO LAGO;189;12;0.06349206349206349
JARDIM AMANDA II;192;12;0.0625
JARDIM BOA ESPERANCA;530;12;0.022641509433962263
PARQUE DO HORTO;230;12;0.05217391304347826
VILA INEMA;131;11;0.08396946564885496
PARQUE ORTOLANDIA;62;10;0.16129032258064516
JARDIM NOVO CAMBUI;97;10;0.10309278350515463
REMANSO CAMPINEIRO;145;10;0.06896551724137931
JARDIM AMANDA 2;243;10;0.0411522633744856
VILA REAL CONTINUACAO;202;10;0.04950495049504951
JARDIM SAO SEBASTIAO;209;10;0.04784688995215311
VILA REAL;181;9;0.049723756906077346
JARDIM NOSSA SENHORA AUXILIADORA;274;9;0.032846715328467155
JARDIM CONCEICAO;170;8;0.047058823529411764
JARDIM SAO BENTO;164;8;0.04878048780487805
JARDIM INTERLAGOS;143;7;0.04895104895104895
JARDIM SAO JORGE;188;7;0.03723404255319149
JARDIM AMANDA 1;160;7;0.04375
PARQUE ORESTES ONGARO;125;7;0.056
JARDIM SANTA ESMERALDA;161;7;0.043478260869565216
JARDIM DAS COLINAS;39;6;0.15384615384615385
PARQUE DOS PINHEIROS;97;6;0.061855670103092786
ADVENTISTA CAMPINEIRO;40;6;0.15
JARDIM AMANDA I;160;6;0.0375
JARDIM PRIMAVERA;237;6;0.02531645569620253
JARDIM SANTANA;57;5;0.08771929824561403
VILA SAO FRANCISCO;37;5;0.13513513513513514
JARDIM DO BOSQUE;51;5;0.09803921568627451
JARDIM ROSOLEN;44;5;0.11363636363636363
JARDIM MONTE SINAI;173;5;0.028901734104046242
JARDIM SANTA RITA DE CASSIA;78;5;0.0641025641025641
JARDIM BRASIL;132;5;0.03787878787878788
PARQUE SANTO ANDRE;54;4;0.07407407407407407
JARDIM AUXILIADORA;54;4;0.07407407407407407
PARQUE ODIMAR;20;4;0.2
PARQUE ORESTE ONGARO;95;4;0.042105263157894736
JARDIM EVEREST;37;4;0.10810810810810811
JARDIM SANTA FE;97;4;0.041237113402061855
JARDIM ALINE;80;4;0.05
NOVO ANGULO;219;4;0.0182648401826484
CHACARA FAZENDA COELHO;33;4;0.12121212121212122
VILA SAO PEDRO;150;4;0.02666666666666667
LOTEAMENTO NOVA ALVORADA;31;4;0.12903225806451613
JARDIM RESIDENCIAL FIRENZE;23;4;0.17391304347826086
LOTEAMENTO ADVENTISTA CAMPINEIRO;13;4;0.3076923076923077
NUCLEO SANTA IZABEL;22;3;0.13636363636363635
VILA DA CONQUISTA;61;3;0.04918032786885246
JARDIM SUMAREZINHO;177;3;0.01694915254237288
NOVA HORTOLANDIA;57;3;0.05263157894736842
JARDIM SANTA CLARA DO LAGO I;37;3;0.08108108108108109
JARDIM SANTA CLARA DO LAGO II;24;3;0.125
JARDIM SANTA CANDIDA;21;3;0.14285714285714285
JARDIM MALTA;56;3;0.05357142857142857
JARDIM NOVO HORIZONTE;79;3;0.0379746835443038
