d.nom_localidade_fam;total;analfabetos;ch06_pct
VL SAO FRANCISCO;1;1;1.0
JARDIM MIDA;1;1;1.0
PARQUE O;1;1;1.0
JARDIM SNATA AMELIA;1;1;1.0
JARDIM SANTA CLARA DO ALGO;1;1;1.0
CHACARA COELHO;2;2;1.0
JARDM SAO BENTO;1;1;1.0
SAO PEDRO;1;1;1.0
JARDIM IMINDA;2;2;1.0
SITIO SANTA MARIA;1;1;1.0
JARIM NOVA EUROPA;1;1;1.0
JARDIM MARIA DE LOURDES;1;1;1.0
JARDIM SAO BENTO II;1;1;1.0
PARQUE RESIDENCIALJOAO LUIZ;1;1;1.0
VILA FLORA;1;1;1.0
RECANDO DO SOL;1;1;1.0
PAQUE ORTOLANDIA;1;1;1.0
JARDIM AMNADA II;4;3;0.75
JARDIM ESTRELA II;3;2;0.6666666666666666
JARDIM NOVO ANGLO;3;2;0.6666666666666666
RESIDENCIAL PARQUE NOVO ANGULO;7;4;0.5714285714285714
JARDIM AMANA;2;1;0.5
JARDIM SAO JORJE;2;1;0.5
PARQUE PEROM;2;1;0.5
JARDIM SAO SORGE;2;1;0.5
JARDIM AMADA;2;1;0.5
JRDIM NOSSA SENHORA AUXILIADORA;2;1;0.5
JARDIN NOVO ANGULO;2;1;0.5
JARDM NOSSA SENHORA AUXILIADORA;2;1;0.5
CHACARAS PANAINO;2;1;0.5
JARDIM AMPOS VERDE;2;1;0.5
PARQUE TERRAS SANTA MARIA;2;1;0.5
JD ALINE;2;1;0.5
CHARACA PLANALTO;4;2;0.5
PARQUE GARIEL;2;1;0.5
JARDIM LUZIA;2;1;0.5
VILSA SAO FRANCISCO;2;1;0.5
JARDIM NOVA BOA VISTA;2;1;0.5
JARDIM NOVA EUROP A;2;1;0.5
JARDIM EVERST;4;2;0.5
PARQUE SAO GABRIEL;5;2;0.4
JARDIM FIGUEIRA I;5;2;0.4
LOTEAMENTE NOVA ALVORADA;5;2;0.4
PARQUE FRANCESCHINI;3;1;0.3333333333333333
JARDIM NOVA ESTELA;3;1;0.3333333333333333
JARDIM AMANADA I;3;1;0.3333333333333333
CHACARA FAZENDAS COELHO;3;1;0.3333333333333333
GOLDEN PARK RESIDENCIAL;3;1;0.3333333333333333
JARDIM AMNADA I;9;3;0.3333333333333333
JRDIM NOVA HORTOLANDIA;3;1;0.3333333333333333
TERRAS DE SANTA MARIA;3;1;0.3333333333333333
RESIDENCIAL FIRENZE;6;2;0.3333333333333333
JARDIM GIRASOL;3;1;0.3333333333333333
JARDIM SAO SEBSTIAO;3;1;0.3333333333333333
SANTA CLARA;3;1;0.3333333333333333
JARDIM SANTA LUIZIA;3;1;0.3333333333333333
JARDIM VILLAGIO GHIRALDELI;3;1;0.3333333333333333
JARDIM SAO JOSE;3;1;0.3333333333333333
JARDIM STEFANIA;6;2;0.3333333333333333
JARDIM SNATA FE;3;1;0.3333333333333333
JARDIM MIRANTE SUMARE;10;3;0.3
PARAISO NOVO ANGULO;7;2;0.2857142857142857
CHACARAS RECREIO 2000;11;3;0.2727272727272727
JARDIM NOSSA SENHORA AUXIADORA;4;1;0.25
JARDIM NOSSA DA PENHA;4;1;0.25
CHACARA RECREIO ALVIRADA;4;1;0.25
CHACARA RECREIO DOIS MIL;4;1;0.25
JARDIM NOVA HORIZONTE;4;1;0.25
RESIDENCIAL VECON BURITI;8;2;0.25
JARDIM BOA ESPERENCA;4;1;0.25
ORESTES ONGARO;9;2;0.2222222222222222
JARDIM NOVA ESTRELA;48;10;0.20833333333333334
CHACARA LUZITANA;34;7;0.20588235294117646
CHACARAS LUZITANA;39;8;0.20512820512820512
CHACARA HAVAI;10;2;0.2
RESIDENCIAL MARIA DE LOURDES;10;2;0.2
LOTEAMENTO JARDIM PRIMAVERA;5;1;0.2
JADIM NOVO ESTRELA;5;1;0.2
JARDIM TERRAS SANTO ANTONIO;5;1;0.2
JARIDM AMANDA;5;1;0.2
JARDIM SANTA CLARA;21;4;0.19047619047619047
CONJUNTO HABITACIONAL JARDIM PRIMAVERA;43;8;0.18604651162790697
JARDIM NOSSA AUXILIADORA;11;2;0.18181818181818182
CHACARA PLANALTO;44;8;0.18181818181818182
JARDIM GOLDEN PARK RESIDENCE;6;1;0.16666666666666666
JARDIM LARANJEIRA;6;1;0.16666666666666666
MONTEI SINAI;6;1;0.16666666666666666
CHACARA BOA VISTA;6;1;0.16666666666666666
RESIDENCIAL JARDIM DE MONACO;6;1;0.16666666666666666
PARQUE VASCONCELLOS;6;1;0.16666666666666666
VILA REAL CONTINUCAO;19;3;0.15789473684210525
JARDIM VIAGEM;13;2;0.15384615384615385
JARDIM BOA VISTA;125;18;0.144
TAQUARA BRANCA;7;1;0.14285714285714285
PARQUE TERRA SANTA MARIA;14;2;0.14285714285714285
JARDIM CAMPOS VERDE;7;1;0.14285714285714285
JARDIM NOVA EURPOPA;7;1;0.14285714285714285
PARQUE OLIVIO FRANCESCHINI;14;2;0.14285714285714285
JARDIM SANTA CLARA DO LAGO II;78;11;0.14102564102564102
JARDIM BRASIL;421;58;0.1377672209026128
JARDIM PRIMAVERA;760;104;0.1368421052631579
JARDIM SAO FELIPE;44;6;0.13636363636363635
JD AMANDA;15;2;0.13333333333333333
JARDIM ALINE;274;36;0.13138686131386862
JARDIM NOVA HORTOLANDIA II;69;9;0.13043478260869565
JARDIM NOVO ESTRELA;432;56;0.12962962962962962
MONTE SINAI;119;15;0.12605042016806722
JARDIM SANTA RITA DE CASSIA;335;42;0.1253731343283582
JARDIM PAULISTINHA;8;1;0.125
JARDIM ESTEFANIA;88;11;0.125
SAO JORGE;8;1;0.125
JARDIM NOVA ESTRELA II;16;2;0.125
JARDIM SANTA CLARA DO LAGO CONTINUACAO;8;1;0.125
CHACARA REYMAR;121;15;0.12396694214876033
RESIDENCIAL RECANTO DE SOL;25;3;0.12
NUCLEO RESIDENCIAL FURLAN;42;5;0.11904761904761904
