d.nom_localidade_fam;total;sem_fund;ch07_pct
JARDIM AMANDA;2762;307;0.111151339608979
JARDIM BOA ESPERANCA;827;155;0.18742442563482467
JARDIM NOVO ANGULO;702;114;0.1623931623931624
JARDIM PRIMAVERA;361;76;0.21052631578947367
JARDIM NOSSA SENHORA AUXILIADORA;435;68;0.15632183908045977
JARDIM NOVA EUROPA;605;65;0.10743801652892562
JARDIM NOVA HORTOLANDIA;608;64;0.10526315789473684
JARDIM ADELAIDE;375;58;0.15466666666666667
PARQUE DO HORTO;368;52;0.14130434782608695
JARDIM AMANDA 2;388;50;0.12886597938144329
JARDIM NOVA AMERICA;556;46;0.08273381294964029
JARDIM MINDA;359;42;0.116991643454039
JARDIM AMANDA II;351;41;0.1168091168091168
JARDIM SAO JORGE;298;40;0.1342281879194631
NOVO ANGULO;329;36;0.1094224924012158
JARDIM MONTE SINAI;277;29;0.10469314079422383
JARDIM AMANDA I;268;28;0.1044776119402985
RECANTO DO SOL;92;25;0.2717391304347826
JARDIM SANTIAGO;179;25;0.13966480446927373
VILA REAL CONTINUACAO;312;25;0.08012820512820513
JARDIM NOSSA SENHORA DE FATIMA;303;25;0.08250825082508251
RESIDENCIAL RECANTO DO SOL;113;24;0.21238938053097345
VILA REAL;260;24;0.09230769230769231
JARDIM SANTA ESMERALDA;251;23;0.09163346613545817
JARDIM SANTA FE;144;23;0.1597222222222222
JARDIM CONCEICAO;255;22;0.08627450980392157
JARDIM AMANDA 1;261;22;0.0842911877394636
JARDIM SAO BENTO;280;21;0.075
PARQUE ORESTES ONGARO;200;21;0.105
JARDIM BRASIL;204;21;0.10294117647058823
JARDIM SANTA CLARA DO LAGO;265;21;0.07924528301886792
JARDIM CAMPOS VERDES;282;20;0.07092198581560284
JARDIM SUMAREZINHO;291;19;0.06529209621993128
JARDIM NOVO HORIZONTE;118;19;0.16101694915254236
JARDIM NOVO ESTRELA;157;17;0.10828025477707007
PARQUE ORTOLANDIA;96;15;0.15625
PARQUE DOS PINHEIROS;150;14;0.09333333333333334
JARDIM DO LAGO;81;13;0.16049382716049382
JARDIM ALINE;128;13;0.1015625
VILA SAO PEDRO;218;13;0.05963302752293578
PARQUE GABRIEL;103;13;0.1262135922330097
VILA INEMA;205;13;0.06341463414634146
PARQUE PERON;112;12;0.10714285714285714
PARQUE TERRAS DE SANTA MARIA;62;11;0.1774193548387097
MONTE SINAI;65;11;0.16923076923076924
PARQUE MARIA DE LOURDES;40;11;0.275
RESIDENCIAL FURLAN;37;10;0.2702702702702703
JARDIM SAO SEBASTIAO;322;10;0.031055900621118012
JARDIM SAO PEDRO;67;10;0.14925373134328357
JARDIM INTERLAGOS;213;10;0.046948356807511735
VILA DA CONQUISTA;90;10;0.1111111111111111
JARDIM MALTA;78;10;0.1282051282051282
NOVA HORTOLANDIA;91;10;0.10989010989010989
NUCLEO RESIDENCIAL FURLAN;22;9;0.4090909090909091
JARDIM RICARDO;43;9;0.20930232558139536
VILA GUEDES;120;9;0.075
JARDIM AUXILIADORA;87;9;0.10344827586206896
JARDIM ROSOLEN;56;8;0.14285714285714285
REMANSO CAMPINEIRO;221;8;0.03619909502262444
JARDIM EVEREST;53;8;0.1509433962264151
JARDIM DO BOSQUE;85;8;0.09411764705882353
JARDIM SANTA IZABEL;124;8;0.06451612903225806
NOVA AMERICA;67;7;0.1044776119402985
SANTA EMILIA;72;7;0.09722222222222222
JARDIM DAS FLORES;80;7;0.0875
LOTEAMENTO RECANTO DO SOL;71;7;0.09859154929577464
JARDIM NOVA HORTOLANDIA I;52;7;0.1346153846153846
JARDIM NOVA HORTOLANDIA II;34;7;0.20588235294117646
JARDIM SAO FELIPE;34;7;0.20588235294117646
JARDIM BOA VISTA;35;6;0.17142857142857143
JARDIM NOVA ALVORADA;48;6;0.125
JARDIM SANTA RITA DE CASSIA;111;6;0.05405405405405406
JARDIM RESIDENCIAL FIRENZE;32;6;0.1875
JARDIM TERRAS DE SANTO ANTONIO;140;6;0.04285714285714286
VILA REAL SANTISTA;37;5;0.13513513513513514
LOTEAMENTO NOVO ANGULO;16;5;0.3125
JARDIM LARANJEIRAS;22;5;0.22727272727272727
JARDIM GIRASSOL;28;5;0.17857142857142858
PARQUE ORESTE ONGARO;139;5;0.03597122302158273
JARDIM NOSSA SENHORA AUXIADORA;5;5;1.0
JARDIM ESTEFANIA;29;5;0.1724137931034483
CONJUNTO HABITACIONAL JARDIM PRIMAVERA;31;5;0.16129032258064516
RESIDENCIAL ANAUA;61;5;0.08196721311475409
JARDIM NOVO CAMBUI;148;5;0.033783783783783786
VILA SAO FRANCISCO;53;5;0.09433962264150944
JARDIM SANTANA;78;5;0.0641025641025641
RESIDENCIAL PARQUE NOVO ANGULO;9;5;0.5555555555555556
JARDIM MIRANTE DE SUMARE;66;4;0.06060606060606061
JARDIM DAS COLINAS;59;4;0.06779661016949153
JARDIM SANTO ANTONIO;16;4;0.25
CHACARAS ASSAY;26;4;0.15384615384615385
CHACARA REYMAR;54;4;0.07407407407407407
JARDIM SANTA CLARA DO LAGO II;39;4;0.10256410256410256
CHACARA LUZITANA;10;4;0.4
RESIDENCIAL RECANTO DE SOL;12;4;0.3333333333333333
CHACARA RECREIO 2000;7;4;0.5714285714285714
JARDIM DO BRAZ;14;3;0.21428571428571427
SUMAREZINHO;8;3;0.375
PARQUE SAO MIGUEL;61;3;0.04918032786885246
RESIDENCIAL MARIA DE LOURDES;11;3;0.2727272727272727
JARDIM NOVO ESTRELA II;19;3;0.15789473684210525
PARQUE ORESTES ONGRO;3;3;1.0
VILA AMERICA;46;3;0.06521739130434782
JARDIM MIRANTE;15;3;0.2
JARDIM DAS FIGUEIRAS II;50;3;0.06
RESIDENCIAL JOAO LUIZ;38;3;0.07894736842105263
SAO CAMILO;3;3;1.0
JARDIM CARMEM CRISTINA;54;3;0.05555555555555555
JARDIM SAO CAMILO;91;3;0.03296703296703297
PARQUE HORTOLANDIA;15;3;0.2
JARDIM NOVA ESTRELA;19;3;0.15789473684210525
JARDIM GHIRALDELLI;25;2;0.08
SAO SEBASTIAO;17;2;0.11764705882352941
JARDIM SANTA EMILIA;42;2;0.047619047619047616
JARDIM FIGUEIRAS I;5;2;0.4
JARDIM NOSSA SENHOR AUXILIADORA;2;2;1.0
JARDIM FIRENZE;12;2;0.16666666666666666
JARDIM CARMEN CRISTINA;31;2;0.06451612903225806
NUC RES FURLAN;3;2;0.6666666666666666
SANTA CLARA DO LAGO;5;2;0.4
CHACARA ASSAY;30;2;0.06666666666666667
CHACARA ALVORADA;2;2;1.0
JARDIM SANTA CLARA DO LAGO I;61;2;0.03278688524590164
JD AMANDA;9;2;0.2222222222222222
JARDIM VILLAGIO GHIRALDELLI;42;2;0.047619047619047616
RESIDENCIAL BELLA VILLE;8;2;0.25
LOTEAMENTO ADVENTISTA CAMPINEIRO;28;2;0.07142857142857142
NUCLEO SANTA IZABEL;41;2;0.04878048780487805
NOVA EUROPA;13;2;0.15384615384615385
JARDIM DAS FIGUEIRAS;29;2;0.06896551724137931
JARDIM DAS FIGUIERAS II;2;2;1.0
LOTEAMENTO JARDIM DAS FLORES;13;2;0.15384615384615385
JD NOSSA SENHORA DE FATIMA;2;2;1.0
JARDIM MIRANTE SUMARE;3;2;0.6666666666666666
JARDIM DAS LARANJEIRAS;27;2;0.07407407407407407
JARDIM RESIDENCIAL VECCON BURITI;16;2;0.125
TAQUARA BRANCA;4;2;0.5
JARDIM DO BRAS;8;2;0.25
SAO JORGE;5;2;0.4
JD NOVA AMERICA;6;2;0.3333333333333333
JARDIM SANTA CLARA;14;2;0.14285714285714285
JARDIM SANTA LUZIA;36;2;0.05555555555555555
CHACARAS ACARAI;18;2;0.1111111111111111
JARDIN NOVO ANGULO;2;2;1.0
JARDIM NOSSA SENHORA DA PENHA;33;2;0.06060606060606061
JRDIM INTERLAGOS;1;1;1.0
CHACARA RECREIO ALVORADA;21;1;0.047619047619047616
JARDIM NOSSA SENHORA AUXILIHADORA;1;1;1.0
JARDIM NOSSA SENHORA AUXLIADORA;1;1;1.0
CHACARA NOVA VISTA;1;1;1.0
CHACARA NOVA BOA VISTA;19;1;0.05263157894736842
JARDIM SANTA CLAR DO LAGO;1;1;1.0
PARQUE SAO GABRIEL;3;1;0.3333333333333333
CHACARAS PLANALTO;7;1;0.14285714285714285
LOTEAMENTE NOVA ALVORADA;3;1;0.3333333333333333
JARDIM AMNADA I;1;1;1.0
ADVENTISTA CAMPINEIRO;61;1;0.01639344262295082
SANTA ESMERALDA;20;1;0.05
JARDIM BELA VISTA;9;1;0.1111111111111111
RESIDENCIAL NOVO ESTRELA;1;1;1.0
LOTEAMENTO PRIMAVERA;1;1;1.0
LOTEAMENTO NOVA ALVORADA;45;1;0.022222222222222223
RESIDENCIAL EUROPA;10;1;0.1
NOSSA SENHORA AUXILIADORA;4;1;0.25
NOSSA SENHORA DE FATIMA;1;1;1.0
PARAISO NOVO ANGULO;1;1;1.0
PARQUE TERRAS SANTA MARIA;1;1;1.0
JARDIM SANTA AMELIA;26;1;0.038461538461538464
JARDIM SANTA DOS PINHEIROS;1;1;1.0
RESIDENCIAL VECON BURITI;2;1;0.5
JARDIM IMINDA;1;1;1.0
PARQUE RESIDENCIAL MARA DE LOURDES;1;1;1.0
NOVO ESTRELA;3;0;0.0
NOVO HORTOLANDIA;1;0;0.0
NOVO HORIZONTE;7;0;0.0
JD S RITA DE CASSIA;1;0;0.0
JD MONTE SINAI;1;0;0.0
JD NOVO ANGULO;5;0;0.0
JD PRIMAVERA;1;0;0.0
JD NOVO HORIZONTE;4;0;0.0
MIRANTE DE SUMARE;1;0;0.0
JD SANTA EMILIA;1;0;0.0
LOT NOVO ANGULO;2;0;0.0
LOTEAMENTO REMANSO CAMPINEIRO;11;0;0.0
LOTEAMENTO NOVO ALVORADA;2;0;0.0
LOTEAMENTO JARDIM PRIMAVERA;4;0;0.0
LOTEAMENTO JARDIM NOVO ANGULO;1;0;0.0
MOVA AMERICA;1;0;0.0
NOV ANGULO;2;0;0.0
NOVA ALVORADA;3;0;0.0
JRDIM SAO SEBASTIAO;2;0;0.0
NOVO CAMBUI;3;0;0.0
JRDIM NOVA HORTOLANDIA;1;0;0.0
JRDIM NOSSA SENHORA AUXILIADORA;1;0;0.0
NOVA ESTRELA;1;0;0.0
NOVA ESTRELA II;2;0;0.0
JRDIM MONTE SINAI;1;0;0.0
JD VILA VERDE;1;0;0.0
JD SAO BENTO;3;0;0.0
MONTEI SINAI;1;0;0.0
PARQUE SANTO ANDRE;79;0;0.0
NUCLEO RESIDENCIAL FURLA;2;0;0.0
SAO BENTO;2;0;0.0
TERRAS DE SANTA DE MARIA;2;0;0.0
TERRA DE SANTA MARIA;2;0;0.0
SELECIONE;2;0;0.0
SAO SABASTIAO;1;0;0.0
SAO MIGUEL;3;0;0.0
SAO BENTO 2;1;0;0.0
SAO BENTO 1;1;0;0.0
SANTA RITA DE CASSIA;9;0;0.0
NUCLEO SANTA ISABEL;4;0;0.0
SANTA ISABEL;1;0;0.0
SANTA FE;3;0;0.0
SANTA CLARA DO LAGO II;2;0;0.0
SANTA CLARA;5;0;0.0
SANTA AMELIA;2;0;0.0
RIO MISSISSIPI;2;0;0.0
RESIDENCIAU ANAUA;2;0;0.0
TERRAS DE SANTA MARIA;1;0;0.0
VIA INEMA;1;0;0.0
VIA REAL;1;0;0.0
VIL A SAO PEDRO;2;0;0.0
VL AMERICA;2;0;0.0
VILLA FLORA;3;0;0.0
VILE REAL CONTINUACAO;2;0;0.0
VILAREAL;3;0;0.0
VILAGIO GHIRALDELLI;5;0;0.0
VILA SAO FRANCISCO DE ASSIS;2;0;0.0
VILA SAO FRACISCO;1;0;0.0
VILA REALCONTINUACAO;4;0;0.0
VILA REAL CONTINUCAO;1;0;0.0
VILA REAL CONTINUAO;4;0;0.0
VILA REAL CONINUACAO;2;0;0.0
VILA REA CONTINUACAO;1;0;0.0
VILA IPE;6;0;0.0
VILA CONQUISTA;10;0;0.0
VIL REAL;1;0;0.0
RESIDENCIAL VECCON BURITI;9;0;0.0
RESIDENCIAL JOAO LUIS;2;0;0.0
RESIDENCIAL FIRENZE;2;0;0.0
JD MALTA;3;0;0.0
PARQUE RESIDENCIAL MARIA DE LOURDES;35;0;0.0
PARQUE RESIDENCIAL JOAO LUIZ;17;0;0.0
PARQUE PINHEIROS;1;0;0.0
PARQUE OLIVIO FRANCESCHINI;3;0;0.0
PARQUE ODIMAR;30;0;0.0
PARQUE NOVO HORIZONTE;2;0;0.0
PARQUE MARI DE LOURDES;1;0;0.0
PARQUE HORIZONTE;7;0;0.0
PARQUE GARIEL;1;0;0.0
PARQUE BELLAVILLE;16;0;0.0
PARQUE BELLA VILLE;18;0;0.0
PAQUE PERON;2;0;0.0
ORESTES ONGARO;2;0;0.0
ORESTE ONGARO;4;0;0.0
NVO ANGULO;3;0;0.0
PARQUE SANTA MARIA;2;0;0.0
PARQUE TERRA DE SANTA MARIA;28;0;0.0
RESIDENCIAL BELLAVILLE;5;0;0.0
PARQUE TERRA SANTA MARIA;7;0;0.0
RESIDENCIA JOAO LUIZ;2;0;0.0
RES FURLAN;3;0;0.0
RES EUROPA;3;0;0.0
RES ANAUA;2;0;0.0
REMANSO;2;0;0.0
RECREIO ALVORADA;1;0;0.0
RECANTO DA SOL;2;0;0.0
PQRQUE ORESTES ONGARO;3;0;0.0
PQ PINHEIROS;2;0;0.0
PQ DOS PINHEIROS;2;0;0.0
PQ DO HORTO;2;0;0.0
PARQUE VASCONCELOS;1;0;0.0
PARQUE VASCONCELLOS;6;0;0.0
PARQUE TERRRAS DE SANTA MARIA;1;0;0.0
PARQUE TERRAS DE SNTA MARIA;1;0;0.0
JD MINDA;1;0;0.0
ADIVENTISTA CAMPINEIRO;3;0;0.0
JD INTERLAGOS;1;0;0.0
JARDIM AMNADA;3;0;0.0
JARDIM BOA ESPRENCA;1;0;0.0
JARDIM BOA ESPERNCA;2;0;0.0
JARDIM BOA ESPERENCA;3;0;0.0
JARDIM BOA ESPERANA;10;0;0.0
JARDIM BOA ESPERACA;1;0;0.0
JARDIM BELLAVILLE;2;0;0.0
JARDIM AUXILADORA;2;0;0.0
JARDIM AMNDA II;2;0;0.0
JARDIM AMNAD I;3;0;0.0
JARDIM CAMPOS VERDE;5;0;0.0
JARDIM AMANDA1;1;0;0.0
JARDIM AMANDA 01;1;0;0.0
JARDIM AMANAD I;1;0;0.0
JARDIM ADVENTISTA CAMPINEIRO;2;0;0.0
JARDIIM AMANDA;2;0;0.0
JARDI ESTEFANIA;2;0;0.0
JARDI AMANDA;3;0;0.0
JARDDIM AMANDA;1;0;0.0
JARDIM CAMOPS VERDES;1;0;0.0
JARDIM CARMEM;2;0;0.0
JD GIRASSOL;1;0;0.0
JARDIM DAS FIQUEIRAS II;1;0;0.0
JARDIM FIGUEIRA 1;1;0;0.0
JARDIM EVERST;1;0;0.0
JARDIM EVERESTE;2;0;0.0
JARDIM ESTRELA 2;2;0;0.0
JARDIM DO MALTA;1;0;0.0
JARDIM DO LIRIO;2;0;0.0
JARDIM DAS PAINEIRAS;12;0;0.0
JARDIM DAS LARANEJIRAS;3;0;0.0
JARDIM DAS FIGUEIRAS I;27;0;0.0
JARDIM CARMEM CRSITINA;1;0;0.0
JARDIM DAS FIGUEIRAS 2;16;0;0.0
JARDIM DAS FIGUEIRAS 1;11;0;0.0
JARDIM DA FIGUEIRAS II;1;0;0.0
JARDIM DA FIGUEIRAS 2;1;0;0.0
JARDIM DA FIGUEIRA 2;1;0;0.0
JARDIM COLINAS;2;0;0.0
JARDIM COINCEICAO;1;0;0.0
JARDIM CARMER CRISTINA;5;0;0.0
JADIM NOVO ANGULO;1;0;0.0
JADIM DAS FIGUEIRAS;1;0;0.0
JAADVENTISTA CAMPINEIRO;1;0;0.0
CH N BOA VISTA;1;0;0.0
CHACARA PLANALTO;22;0;0.0
CHACARA JARDIM BOA VISTA;1;0;0.0
CHACARA HAVAI;6;0;0.0
CHACARA GROTA AZUL;4;0;0.0
CHACARA FAZENDAS COELHO;1;0;0.0
CHACARA FAZENDA COELHO;57;0;0.0
CHACARA BOA VISTA;2;0;0.0
CHACARA ACARAI;1;0;0.0
CARMEN CRISTINA;1;0;0.0
GLEBA 1A2D1C;1;0;0.0
CAMPOS VERDES;3;0;0.0
CAHCARA NOVA BOA VISTA;2;0;0.0
BOA ESPERANCA;5;0;0.0
BELLA VILLE HORTOLANDIA;1;0;0.0
BELLA VILE;2;0;0.0
AUXILIADORA;1;0;0.0
AMANDA 1;2;0;0.0
AMANDA;6;0;0.0
CHACARA RECHEIO ALVORADA;2;0;0.0
CHACARA RECREIO ALVIRADA;2;0;0.0
CHACARA RECREIO DOIS MIL;2;0;0.0
CHACARAS ACARAY;2;0;0.0
FURLAN;6;0;0.0
FIGUEIRAS I;1;0;0.0
ESTRELA;1;0;0.0
CONDOMINIO RESIDENCIAL VILLA FLORA;1;0;0.0
CONDOMINIO RESIDENCIAL VILA FLORA;5;0;0.0
COLEGIO ADVENTISTA CAMPINEIRO;4;0;0.0
CHACARAS REYMAR;7;0;0.0
CHACARAS RECREIO ALVORADA;1;0;0.0
CHACARAS RECREIO 2000;2;0;0.0
CHACARAS NOVA BOA VISTA;4;0;0.0
CHACARAS LUZITANA;10;0;0.0
CHACARAS HAVAI;3;0;0.0
CHACARAS GROTA AZUL;1;0;0.0
CHACARAS FAZENDO COELHO;8;0;0.0
CHACARAS FAZENDA COELHO;41;0;0.0
CHACARAS DE RECREIO 2000;2;0;0.0
CHACARAS ASSAHY;3;0;0.0
JARDIM FIGUEIRA I;1;0;0.0
JARDIM FIGUEIRA II;1;0;0.0
JARDIM FIGUEIRAS 1;4;0;0.0
JARDIM SAO BENEDITO;10;0;0.0
JARDIM SO CAMILO;2;0;0.0
JARDIM SNATA CLARA DO LAGO;1;0;0.0
JARDIM SASO BENTO;1;0;0.0
JARDIM SAO SEBESTIAO;4;0;0.0
JARDIM SAO SABASTIAO;2;0;0.0
JARDIM SAO MIGUEL;2;0;0.0
JARDIM SAO JOSE;1;0;0.0
JARDIM SAO FRANCISCO;1;0;0.0
JARDIM SAO;1;0;0.0
