d.nom_localidade_fam;total;nem_nem;ch08_pct
JARDIM AMANDA;1481;115;0.07765023632680622
JARDIM BOA ESPERANCA;430;44;0.10232558139534884
JARDIM NOVA EUROPA;319;37;0.11598746081504702
JARDIM NOVO ANGULO;422;32;0.07582938388625593
JARDIM PRIMAVERA;242;30;0.12396694214876033
JARDIM NOSSA SENHORA AUXILIADORA;209;26;0.12440191387559808
JARDIM NOVA AMERICA;283;25;0.08833922261484099
JARDIM NOVA HORTOLANDIA;302;24;0.07947019867549669
JARDIM SUMAREZINHO;162;21;0.12962962962962962
JARDIM AMANDA II;152;21;0.13815789473684212
VILA REAL CONTINUACAO;176;18;0.10227272727272728
JARDIM SAO BENTO;139;18;0.12949640287769784
JARDIM AMANDA 1;124;18;0.14516129032258066
JARDIM AMANDA 2;159;17;0.1069182389937107
JARDIM CAMPOS VERDES;134;17;0.12686567164179105
JARDIM BRASIL;105;17;0.1619047619047619
VILA REAL;119;16;0.13445378151260504
JARDIM MONTE SINAI;113;16;0.1415929203539823
REMANSO CAMPINEIRO;117;16;0.13675213675213677
JARDIM ADELAIDE;203;16;0.07881773399014778
PARQUE DO HORTO;147;15;0.10204081632653061
JARDIM SANTA ESMERALDA;122;15;0.12295081967213115
JARDIM MINDA;156;15;0.09615384615384616
JARDIM NOVO ESTRELA;125;13;0.104
JARDIM SAO SEBASTIAO;170;13;0.07647058823529412
JARDIM CONCEICAO;122;13;0.10655737704918032
JARDIM AMANDA I;119;11;0.09243697478991597
JARDIM SANTIAGO;80;11;0.1375
JARDIM INTERLAGOS;129;11;0.08527131782945736
JARDIM NOSSA SENHORA DE FATIMA;133;11;0.08270676691729323
VILA INEMA;101;11;0.10891089108910891
PARQUE DOS PINHEIROS;89;9;0.10112359550561797
VILA SAO PEDRO;118;9;0.07627118644067797
PARQUE ORESTES ONGARO;99;8;0.08080808080808081
JARDIM SANTA CLARA DO LAGO;130;8;0.06153846153846154
JARDIM TERRAS DE SANTO ANTONIO;79;8;0.10126582278481013
JARDIM ALINE;58;8;0.13793103448275862
PARQUE SANTO ANDRE;62;8;0.12903225806451613
JARDIM AUXILIADORA;42;7;0.16666666666666666
VILA GUEDES;62;7;0.11290322580645161
PARQUE ORTOLANDIA;80;7;0.0875
JARDIM NOVO HORIZONTE;56;7;0.125
PARQUE PERON;44;7;0.1590909090909091
JARDIM SAO JORGE;128;7;0.0546875
PARQUE ORESTE ONGARO;97;7;0.07216494845360824
SANTA EMILIA;35;5;0.14285714285714285
NOVO ANGULO;175;5;0.02857142857142857
JARDIM ROSOLEN;23;5;0.21739130434782608
LOTEAMENTO RECANTO DO SOL;41;5;0.12195121951219512
RECANTO DO SOL;44;5;0.11363636363636363
PARQUE GABRIEL;63;5;0.07936507936507936
JARDIM SANTA RITA DE CASSIA;71;5;0.07042253521126761
CONJUNTO HABITACIONAL JARDIM PRIMAVERA;8;4;0.5
JARDIM DAS FIGUEIRAS II;20;4;0.2
CHACARAS FAZENDA COELHO;13;4;0.3076923076923077
JARDIM SANTA FE;71;4;0.056338028169014086
MONTE SINAI;38;4;0.10526315789473684
JARDIM SANTA IZABEL;66;4;0.06060606060606061
JARDIM NOVA ESTRELA;13;3;0.23076923076923078
JARDIM DAS FLORES;21;3;0.14285714285714285
JARDIM ESTEFANIA;18;3;0.16666666666666666
JARDIM NOVO CAMBUI;79;3;0.0379746835443038
PARQUE RESIDENCIAL MARIA DE LOURDES;20;3;0.15
JARDIM DO BOSQUE;37;3;0.08108108108108109
JARDIM SAO CAMILO;32;3;0.09375
JARDIM SANTA CLARA DO LAGO II;17;3;0.17647058823529413
JARDIM CARMEM CRISTINA;28;3;0.10714285714285714
PARQUE ODIMAR;24;3;0.125
PARQUE MARIA DE LOURDES;20;3;0.15
NOVA AMERICA;29;3;0.10344827586206896
RESIDENCIAL RECANTO DO SOL;55;3;0.05454545454545454
CHACARA REYMAR;23;3;0.13043478260869565
VILA DA CONQUISTA;57;3;0.05263157894736842
ADVENTISTA CAMPINEIRO;27;2;0.07407407407407407
JARDIM STEFANIA;3;2;0.6666666666666666
JARDIM EVEREST;49;2;0.04081632653061224
PARQUE TERRAS DE SANTA MARIA;17;2;0.11764705882352941
PARQUE TERRA SANTA MARIA;6;2;0.3333333333333333
PARQUE SAO MIGUEL;25;2;0.08
CHACARA RECREIO ALVORADA;15;2;0.13333333333333333
SUMAREZINHO;3;2;0.6666666666666666
JARDIM SANTA CLARA DO LAGO I;16;2;0.125
VILA AMERICA;23;2;0.08695652173913043
COLEGIO ADVENTISTA CAMPINEIRO;3;2;0.6666666666666666
