d.nom_localidade_fam;total_fam_rt01;com_cras;sem_cras;pct_cobertura;pct_gap
ADIVENTISTA CAMPINEIRO;0;0;0;;
ADVENTISTA CAMP;0;0;0;;
ADVENTISTA CAMPINEIRO;1;0;1;0.0;100.0
AMANDA;0;0;0;;
AMANDA 1;0;0;0;;
BELLA VILE;0;0;0;;
BELLA VILLE HORTOLANDIA;0;0;0;;
BOA ESPERANCA;0;0;0;;
CAHCARA NOVA BOA VISTA;0;0;0;;
CAMPOS VERDES;0;0;0;;
CH N BOA VISTA;0;0;0;;
CHACAHAS RECREIO ALVORADA;0;0;0;;
CHACARA ACARAI;0;0;0;;
CHACARA ACARAY;0;0;0;;
CHACARA ALVORADA;0;0;0;;
CHACARA ASSAY;0;0;0;;
CHACARA BOA VISTA;0;0;0;;
CHACARA FAZENDA COELHO;0;0;0;;
CHACARA GROTA AZUL;0;0;0;;
CHACARA HAVAI;0;0;0;;
CHACARA JARDIM BOA VISTA;0;0;0;;
CHACARA LUZITANA;0;0;0;;
CHACARA NOVA BOA VISTA;0;0;0;;
CHACARA NOVA VISTA;0;0;0;;
CHACARA PLANALTO;0;0;0;;
CHACARA RECREIO;0;0;0;;
CHACARA RECREIO 2000;0;0;0;;
CHACARA RECREIO ALVIRADA;0;0;0;;
CHACARA RECREIO ALVORADA;0;0;0;;
CHACARA RECREIO DOIS MIL;0;0;0;;
CHACARA REYMAR;0;0;0;;
CHACARAS ACARAI;0;0;0;;
CHACARAS ACARAY;0;0;0;;
CHACARAS ASSAHY;0;0;0;;
CHACARAS ASSAY;0;0;0;;
CHACARAS DE RECREIO 2000;0;0;0;;
CHACARAS FAZENDA COELHO;0;0;0;;
CHACARAS FAZENDO COELHO;0;0;0;;
CHACARAS GROTA AZUL;0;0;0;;
CHACARAS HAVAI;0;0;0;;
CHACARAS LUZITANA;0;0;0;;
CHACARAS NOVA BOA VISTA;0;0;0;;
CHACARAS PLANALTO;0;0;0;;
CHACARAS RECREIO 2000;0;0;0;;
CHACARAS RECREIO ALVORADA;0;0;0;;
CHACARAS REYMAR;0;0;0;;
CHARARA NOVA BOA VISTA;0;0;0;;
COLEGIO ADVENTISTA CAMPINEIRO;0;0;0;;
CONDOMINIO CHACARA GROTA AZUL;0;0;0;;
CONDOMINIO RESIDENCIAL VILA FLORA;0;0;0;;
CONDOMINIO RESIDENCIAL VILLA FLORA;0;0;0;;
CONJUNTO HABITACIONAL JARDIM PRIMAVERA;0;0;0;;
ESTRELA;0;0;0;;
FURLAN;0;0;0;;
GLEBA 1A2D1C;0;0;0;;
JAADVENTISTA CAMPINEIRO;0;0;0;;
JARDDIM AMANDA;0;0;0;;
JARDI AMANDA;0;0;0;;
JARDI CAMPOS VEDES;0;0;0;;
JARDI ESTEFANIA;0;0;0;;
JARDI MIRANTE DE SUMARE;0;0;0;;
JARDIIM AMANDA;0;0;0;;
JARDIM;0;0;0;;
JARDIM ADELAIDE;0;0;0;;
JARDIM ALINE;0;0;0;;
JARDIM AMADA;0;0;0;;
JARDIM AMANA;0;0;0;;
JARDIM AMANAD I;0;0;0;;
JARDIM AMANDA;7;3;4;42.86;57.14
JARDIM AMANDA 01;0;0;0;;
JARDIM AMANDA 02;0;0;0;;
JARDIM AMANDA 1;0;0;0;;
JARDIM AMANDA 2;0;0;0;;
JARDIM AMANDA I;0;0;0;;
JARDIM AMANDA II;1;1;0;100.0;0.0
JARDIM AMANDA1;0;0;0;;
JARDIM AMANDA2;0;0;0;;
JARDIM AMNAD I;0;0;0;;
JARDIM AMNADA;0;0;0;;
JARDIM AMNADA I;0;0;0;;
JARDIM AMNADA II;0;0;0;;
JARDIM AMNDA I;0;0;0;;
JARDIM AMNDA II;0;0;0;;
JARDIM AUXILADORA;0;0;0;;
JARDIM AUXILIADORA;1;0;1;0.0;100.0
JARDIM AUXLIADORA;0;0;0;;
JARDIM BELA VISTA;0;0;0;;
JARDIM BELLAVILLE;0;0;0;;
JARDIM BOA ESERANCA;0;0;0;;
JARDIM BOA ESPERAANCA;0;0;0;;
JARDIM BOA ESPERACA;0;0;0;;
JARDIM BOA ESPERANA;0;0;0;;
JARDIM BOA ESPERANCA;0;0;0;;
JARDIM BOA ESPERENCA;0;0;0;;
JARDIM BOA ESPERNCA;0;0;0;;
JARDIM BOA ESPRENCA;0;0;0;;
JARDIM BOA VISTA;0;0;0;;
JARDIM BRASIL;0;0;0;;
JARDIM CAMOPS VERDES;0;0;0;;
JARDIM CAMPOS VERDE;0;0;0;;
JARDIM CAMPOS VERDES;2;1;1;50.0;50.0
JARDIM CAMPOS VRDES;0;0;0;;
JARDIM CARMEM;0;0;0;;
JARDIM CARMEM CRISTINA;0;0;0;;
JARDIM CARMEM CRSITINA;0;0;0;;
JARDIM CARMEN CRISTINA;0;0;0;;
JARDIM CARMER CRISTINA;0;0;0;;
JARDIM COINCEICAO;0;0;0;;
JARDIM COLINAS;0;0;0;;
JARDIM CONCEICAO;0;0;0;;
JARDIM DA FIGUEIRA 2;0;0;0;;
JARDIM DA FIGUEIRAS 2;0;0;0;;
JARDIM DA LARANJEIRAS;0;0;0;;
JARDIM DAS COLINAS;0;0;0;;
JARDIM DAS FIGUEIRAS;0;0;0;;
JARDIM DAS FIGUEIRAS 1;0;0;0;;
JARDIM DAS FIGUEIRAS 2;0;0;0;;
JARDIM DAS FIGUEIRAS I;0;0;0;;
JARDIM DAS FIGUEIRAS II;0;0;0;;
JARDIM DAS FIGUERAS II;0;0;0;;
JARDIM DAS FIGUIERAS II;0;0;0;;
JARDIM DAS FIQUEIRAS II;0;0;0;;
JARDIM DAS FLORES;0;0;0;;
JARDIM DAS LARANEJIRAS;0;0;0;;
JARDIM DAS LARANJEIRAS;0;0;0;;
JARDIM DAS PAINEIRAS;0;0;0;;
JARDIM DE MONACO;0;0;0;;
JARDIM DO BOSQUE;0;0;0;;
JARDIM DO BRAS;0;0;0;;
JARDIM DO BRAZ;0;0;0;;
JARDIM DO LADO;0;0;0;;
JARDIM DO LAGO;0;0;0;;
JARDIM DO LIRIO;0;0;0;;
JARDIM DO MALTA;0;0;0;;
JARDIM ESTEFANIA;0;0;0;;
JARDIM ESTRELA 2;0;0;0;;
JARDIM ESTRELA II;0;0;0;;
JARDIM EVEREST;0;0;0;;
JARDIM EVERESTE;0;0;0;;
JARDIM EVERST;0;0;0;;
JARDIM FIGUEIRA 1;0;0;0;;
JARDIM FIGUEIRA I;0;0;0;;
JARDIM FIGUEIRA II;0;0;0;;
JARDIM FIGUEIRAS 1;0;0;0;;
JARDIM FIGUEIRAS 2;0;0;0;;
JARDIM FIGUEIRAS I;0;0;0;;
JARDIM FIGUEIRAS II;0;0;0;;
JARDIM FIRENZE;0;0;0;;
JARDIM FIRENZE II;0;0;0;;
JARDIM FLORIDA;0;0;0;;
JARDIM GHIRALDELLI;0;0;0;;
JARDIM GHIRLDELLI;0;0;0;;
JARDIM GIRASOL;0;0;0;;
JARDIM GIRASSOL;0;0;0;;
JARDIM GOLDEN PARK RESIDENCE;0;0;0;;
JARDIM IMINDA;0;0;0;;
JARDIM INTERLAGOS;0;0;0;;
JARDIM LARANJEIRA;0;0;0;;
JARDIM LARANJEIRAS;0;0;0;;
JARDIM LARNAJEIRAS;0;0;0;;
JARDIM LIRIO;0;0;0;;
JARDIM MALT A;0;0;0;;
JARDIM MALTA;0;0;0;;
JARDIM MARIA DE LOURDES;0;0;0;;
JARDIM MIDA;0;0;0;;
JARDIM MINDA;0;0;0;;
JARDIM MIRANTE;0;0;0;;
JARDIM MIRANTE DE SUMARE;0;0;0;;
JARDIM MIRANTE SUMARE;0;0;0;;
JARDIM MONTE SINAI;0;0;0;;
JARDIM NONA EUROPA;0;0;0;;
JARDIM NOSSA AUXILIADORA;1;0;1;0.0;100.0
JARDIM NOSSA DA PENHA;0;0;0;;
JARDIM NOSSA DE FATIMA;0;0;0;;
JARDIM NOSSA SENHOR AUXILIADORA;0;0;0;;
JARDIM NOSSA SENHORA AUXIADORA;0;0;0;;
JARDIM NOSSA SENHORA AUXILIADORA;3;0;3;0.0;100.0
JARDIM NOSSA SENHORA AUXILIHADORA;0;0;0;;
JARDIM NOSSA SENHORA AUXLIADORA;0;0;0;;
JARDIM NOSSA SENHORA DA FATIMA;0;0;0;;
JARDIM NOSSA SENHORA DA PENHA;0;0;0;;
JARDIM NOSSA SENHORA DE CASSIA;0;0;0;;
JARDIM NOSSA SENHORA DE FATIMA;0;0;0;;
JARDIM NOSSA SENHORA DE LOURDES;0;0;0;;
JARDIM NOSSA SENHORA FATIMA;0;0;0;;
JARDIM NOSSA SENHORAS DE LOURDES;0;0;0;;
JARDIM NOV0 HORIZONTE;0;0;0;;
JARDIM NOVA ALVORADA;0;0;0;;
JARDIM NOVA AMAERICA;0;0;0;;
JARDIM NOVA AMERIA;0;0;0;;
JARDIM NOVA AMERICA;0;0;0;;
JARDIM NOVA ESTELA;0;0;0;;
JARDIM NOVA ESTRELA;0;0;0;;
JARDIM NOVA ESTRELA II;0;0;0;;
JARDIM NOVA EUROP A;0;0;0;;
JARDIM NOVA EUROPA;0;0;0;;
JARDIM NOVA EUROUPA;0;0;0;;
JARDIM NOVA EURPOPA;0;0;0;;
JARDIM NOVA HOORTOLANDIA;0;0;0;;
JARDIM NOVA HORIZONTE;0;0;0;;
JARDIM NOVA HORTOLANDIA;1;0;1;0.0;100.0
JARDIM NOVA HORTOLANDIA I;0;0;0;;
JARDIM NOVA HORTOLANDIA II;0;0;0;;
JARDIM NOVA HORTOLNDIA;0;0;0;;
JARDIM NOVA NOVA HORTOLANDIA;0;0;0;;
JARDIM NOVO AANGULO;0;0;0;;
JARDIM NOVO ANGLO;0;0;0;;
JARDIM NOVO ANGULO;2;0;2;0.0;100.0
JARDIM NOVO CAMBUI;0;0;0;;
JARDIM NOVO E;0;0;0;;
JARDIM NOVO ESTRELA;1;0;1;0.0;100.0
JARDIM NOVO ESTRELA 2;0;0;0;;
JARDIM NOVO ESTRELA I;0;0;0;;
JARDIM NOVO ESTRELA II;0;0;0;;
JARDIM NOVO ESTRELA III;0;0;0;;
JARDIM NOVO ESYTRELA II;0;0;0;;
JARDIM NOVO EUROPA;0;0;0;;
JARDIM NOVO HORIZONTE;0;0;0;;
JARDIM PAULISTINHA;0;0;0;;
JARDIM PRIMAVERA;1;0;1;0.0;100.0
JARDIM PRIMAVIRA;0;0;0;;
JARDIM RECANTO DO SOL;0;0;0;;
JARDIM REMANSO CAMPINEIRO;0;0;0;;
JARDIM RES;0;0;0;;
JARDIM RESIDENCIAL BURITI;0;0;0;;
JARDIM RESIDENCIAL FIRENZE;0;0;0;;
JARDIM RESIDENCIAL FORENZE;0;0;0;;
JARDIM RESIDENCIAL VECCON;0;0;0;;
JARDIM RESIDENCIAL VECCON BURITI;0;0;0;;
JARDIM RICARDO;0;0;0;;
JARDIM ROSOLEM;0;0;0;;
JARDIM ROSOLEN;0;0;0;;
JARDIM SANT ACLARA DO LAGO;0;0;0;;
JARDIM SANT CLARA DO LAGO I;0;0;0;;
JARDIM SANTA;0;0;0;;
JARDIM SANTA AMELIA;0;0;0;;
JARDIM SANTA ANDRE;0;0;0;;
JARDIM SANTA CANDIDA;0;0;0;;
JARDIM SANTA CLAR DO LAGO;0;0;0;;
JARDIM SANTA CLARA;0;0;0;;
JARDIM SANTA CLARA 2;0;0;0;;
JARDIM SANTA CLARA DO ALGO;0;0;0;;
JARDIM SANTA CLARA DO LADO CONTINUACAO;0;0;0;;
JARDIM SANTA CLARA DO LAGO;0;0;0;;
JARDIM SANTA CLARA DO LAGO 2;0;0;0;;
JARDIM SANTA CLARA DO LAGO CONTINUACAO;0;0;0;;
JARDIM SANTA CLARA DO LAGO I;0;0;0;;
JARDIM SANTA CLARA DO LAGO II;0;0;0;;
JARDIM SANTA CLARA II;0;0;0;;
JARDIM SANTA CLRA;0;0;0;;
JARDIM SANTA DOS PINHEIROS;0;0;0;;
