d.nom_localidade_fam;familias
JARDIM AMANDA;573
JARDIM BOA ESPERANCA;127
REMANSO CAMPINEIRO;102
JARDIM NOVA HORTOLANDIA;96
JARDIM SANTA CLARA DO LAGO;89
JARDIM NOVO ANGULO;88
JARDIM NOVA AMERICA;87
JARDIM CAMPOS VERDES;82
NOVO ANGULO;77
JARDIM ADELAIDE;74
PARQUE DO HORTO;74
JARDIM NOSSA SENHORA DE FATIMA;74
JARDIM SUMAREZINHO;68
JARDIM NOSSA SENHORA AUXILIADORA;67
JARDIM NOVA EUROPA;66
JARDIM SAO SEBASTIAO;65
VILA REAL CONTINUACAO;65
JARDIM SAO BENTO;54
JARDIM PRIMAVERA;52
VILA REAL;51
JARDIM SAO JORGE;48
JARDIM SANTA ESMERALDA;43
JARDIM SANTA IZABEL;42
PARQUE DOS PINHEIROS;40
JARDIM MINDA;39
JARDIM SANTIAGO;38
JARDIM AMANDA 2;37
JARDIM CONCEICAO;35
VILA INEMA;33
JARDIM BRASIL;32
PARQUE ORESTES ONGARO;29
PARQUE ORTOLANDIA;29
JARDIM SANTA FE;28
JARDIM ALINE;28
VILA GUEDES;28
VILA SAO PEDRO;27
JARDIM INTERLAGOS;26
RECANTO DO SOL;25
PARQUE ORESTE ONGARO;25
JARDIM SANTANA;24
PARQUE PERON;24
JARDIM AMANDA II;23
JARDIM NOVO ESTRELA;23
JARDIM NOVO HORIZONTE;23
VILA DA CONQUISTA;22
JARDIM SANTA RITA DE CASSIA;22
JARDIM EVEREST;22
NOVA HORTOLANDIA;21
RESIDENCIAL RECANTO DO SOL;21
JARDIM AMANDA 1;20
JARDIM NOVO CAMBUI;20
PARQUE SANTO ANDRE;20
JARDIM AMANDA I;19
JARDIM ROSOLEN;18
JARDIM SAO CAMILO;17
PARQUE HORTOLANDIA;17
RESIDENCIAL JOAO LUIZ;17
SANTA EMILIA;17
JARDIM AUXILIADORA;16
JARDIM MALTA;16
CHACARA FAZENDA COELHO;16
JARDIM TERRAS DE SANTO ANTONIO;15
JARDIM MONTE SINAI;15
PARQUE GABRIEL;15
PARQUE MARIA DE LOURDES;15
JARDIM MIRANTE DE SUMARE;14
JARDIM SANTA AMELIA;14
JARDIM SAO PEDRO;14
MONTE SINAI;13
JARDIM DO BOSQUE;12
VILA REAL SANTISTA;12
JARDIM ROSOLEM;11
JARDIM DO LAGO;11
JARDIM CARMEM CRISTINA;11
JARDIM BOA VISTA;11
NOVA AMERICA;11
NUCLEO SANTA IZABEL;11
VILA SAO FRANCISCO;11
ADVENTISTA CAMPINEIRO;11
PARQUE SAO MIGUEL;10
VILA AMERICA;10
JARDIM SANTA EMILIA;10
JARDIM RICARDO;9
PARQUE TERRAS DE SANTA MARIA;9
JARDIM DAS COLINAS;9
CHACARA NOVA BOA VISTA;8
JARDIM SANTA LUZIA;8
PARQUE RESIDENCIAL MARIA DE LOURDES;8
RESIDENCIAL ANAUA;8
JARDIM NOVA ALVORADA;8
CHACARA REYMAR;8
JARDIM RESIDENCIAL FIRENZE;8
PARQUE ODIMAR;7
SANTA ESMERALDA;7
LOTEAMENTO ADVENTISTA CAMPINEIRO;6
JARDIM CARMEN CRISTINA;6
JARDIM SAO BENEDITO;5
CHACARAS ASSAY;5
JARDIM GHIRALDELLI;5
JARDIM VILLAGIO GHIRALDELLI;5
LOTEAMENTO NOVA ALVORADA;5
CHACARA RECREIO ALVORADA;4
JARDIM SANTO ANDRE;4
JARDIM DAS FIGUEIRAS I;4
JARDIM SANTA CANDIDA;4
SANTA RITA DE CASSIA;4
JARDIM DAS FIGUEIRAS II;4
JARDIM DAS FLORES;4
SAO SEBASTIAO;4
JARDIM DAS LARANJEIRAS;4
RESIDENCIAL FURLAN;4
JARDIM NOVO ESTRELA II;4
CHACARA LUZITANA;4
JD AMANDA;4
PARQUE TERRA DE SANTA MARIA;4
LOTEAMENTO NOVO ANGULO;4
CHACARA ASSAY;4
JARDIM NOVA ESTRELA;4
JARDIM DAS PAINEIRAS;3
JARDIM DAS FIGUEIRAS 1;3
LOTEAMENTO RECANTO DO SOL;3
CHACARAS FAZENDA COELHO;3
PARQUE RESIDENCIAL JOAO LUIZ;3
NOVA EUROPA;3
NUCLEO RESIDENCIAL FURLAN;3
RESIDENCIAL BELLA VILLE;3
FURLAN;3
BOA ESPERANCA;3
JARDIM MIRANTE;3
JARDIM LARANJEIRAS;3
JARDIM ESTEFANIA;3
JARDIM NOSSA SENHORA DA PENHA;3
JARDIM LIRIO;3
JARDIM SANTA CLARA DO LAGO II;3
ORESTES ONGARO;2
NUC RES FURLAN;2
PARQUE BELLA VILLE;2
CHACARAS RECREIO ALVORADA;2
JARDIM STELLA;2
PARQUE PINHEIROS;2
JARDIM BOA ESPERANA;2
JARDIM GIRASSOL;2
CHACARA GROTA AZUL;2
PARQUE TERRAS SANTA MARIA;2
CHACARAS ACARAI;2
CHACARA PLANALTO;2
RESIDENCIAL EUROPA;2
JARDIM VILA VERDE;2
JARDIM DAS FIGUEIRAS 2;2
JARDIM EVERESTE;2
JARDIM SANTA CLARA DO LAGO I;2
JARDIM DO BRAZ;2
JARDIM SANTA RITA;2
JARDIM SANTA CLARA;2
JARDIM DAS FIGUEIRAS;2
SAO JORGE;2
RESIDENCIAL JOAO LUIS;1
CHACARA ACARAY;1
CHACARA ACARAI;1
CAMPOS VERDES;1
SANTO ANDRE;1
SANTA FE;1
CHACARAS RECREIO 2000;1
CHACARAS LUZITANA;1
CHACARAS PLANALTO;1
JADIM AMNADA 1;1
PARQUE MARIA DE LURDES;1
SANTA CLARA DO LAGO II;1
CHACARAS REYMAR;1
PARQUE SAO GABRIEL;1
VILA REAL CONTINUAO;1
TAQUARA BRANCA;1
SUMAREZINHO;1
RESIDENCIAL JARDIM DE MONACO;1
TERRAS DE SANTA MARIA;1
RESIDENCIAL FIRENZE;1
RESIDENCIAL PARQUE NOVO ANGULO;1
CHACARA RECREIO 2000;1
TERRAS DE SANTO ANTONIO;1
VILA CONQUISTA;1
CHACARA HAVAI;1
CHACARA FAZENDAS COELHO;1
VILA ILEMA;1
REMANSO;1
RECREIO NOVA ALVORADA;1
RESIDENCIAU ANAUA;1
SANTA AMELIA;1
VILA IPE;1
SANTA CLARA DO LAGO I;1
VILA FLORA;1
JARDIM NONO ANGULO;1
JANDIM SANTA AMELIA;1
JARDIM NOVO ESTRELA III;1
JARDIM SAO FRANCISCO;1
JARDIM SAO FELIPE;1
JARDIM SANTA ISABEL;1
JARDIM SANTA ESMERALDO;1
JARDIM DO LADO;1
JARDIM RESIDENCIAL JOAO LUIZ;1
JARDIM RES;1
JARDIM REMANSO CAMPINEIRO;1
JARDIM PRIMAVIRA;1
JARDIM PRIMAVERS;1
JARDIM FIGUEIRA 1;1
JARDIM PRI;1
JARDIM FIGUEIRAS I;1
JARDIM NOVO ESTRELA I;1
JARDI SANTO ANDRE;1
JARDIM FIRENZE;1
JARDIM NOVO E;1
JARDIM GIRASOL;1
JARDIM NOVO ANGLO;1
JARDIM NOVO ANFULO;1
JARDIM NOVA NOVA HORTOLANDIA;1
JARDIM NOVA HORTOLNDIA;1
JARDIM GOLDEN PARK RESIDENCE;1
JARDIM NOVA ESTRELA II;1
JARDIM NOVA ESTELA;1
JARDIM NOV0 HORIZONTE;1
JARDIM NOV EUROPA;1
JARDIM NOSSA SENHORA DE LOURDES;1
JARDIM COLINAS;1
JARDIM SAO SEBATIAO;1
JARDIM SAO SORGE;1
JARDIM SNATA AMELIA;1
PARQUE BELLAVILLE;1
JARDIM ADVENTISTA;1
NUCLEO SANTA ISABEL;1
NOVO ESTRELA;1
NOVO CAMBUI;1
JARDIM AMANDA2;1
JARDIM AMNADA I;1
NOVA BOA VISTA;1
NOSSA SENHORA AUXILIADORA;1
MONTE SINAL;1
JARDIM CAMOPS VERDES;1
MARINHO PEREIRA DOS SANTOS;1
LOTEAMENTO REMANSO CAMPINEIRO;1
JARDIM NOSSA AUXILIADORA;1
LOTEAMENTO JARDIM PRIMAVERA;1
LOTEAMENTE NOVA ALVORADA;1
JOAO LUIZ;1
JD MIRANTE DE SUMARE;1
JD INTERLAGOS;1
JD ALINE;1
JARIM NOVA HORTOLANDIA;1
JARDM SAO BENTO;1
JARDIM VILLAGIO;1
JARDIM VIAGEM;1
JARDIM CAMPOS VERDE;1
JARDIM CARME CRISTINA;1
JARDIM SNATA CLARA DO LAGO;1
VL SAO FRANCISCO;1
