d.nom_localidade_fam;total_trab;n_formal;n_informal;pct_informal
PARQUE BELLA VILLE;13;3;10;76.92
JARDIM NOVA HORTOLANDIA I;19;8;11;57.89
JARDIM DAS FIGUEIRAS I;25;11;14;56.0
JARDIM GIRASSOL;18;8;10;55.56
CHACARA ASSAY;21;10;11;52.38
JARDIM NOVA HORTOLANDIA II;17;9;8;47.06
NUCLEO RESIDENCIAL FURLAN;17;9;8;47.06
JARDIM RESIDENCIAL FIRENZE;49;26;23;46.94
JARDIM SAO FELIPE;15;8;7;46.67
SANTA ESMERALDA;13;7;6;46.15
PARQUE TERRA DE SANTA MARIA;23;13;10;43.48
LOTEAMENTO NOVO ANGULO;19;11;8;42.11
JARDIM DAS FIGUEIRAS 2;19;11;8;42.11
PARQUE ORESTES ONGARO;200;116;84;42.0
JARDIM SANTA LUZIA;34;20;14;41.18
CHACARA LUZITANA;10;6;4;40.0
PARQUE GABRIEL;136;83;53;38.97
JARDIM CARMEM CRISTINA;74;46;28;37.84
RESIDENCIAL RECANTO DE SOL;16;10;6;37.5
VILA REAL;256;160;96;37.5
JARDIM MIRANTE DE SUMARE;70;44;26;37.14
JARDIM NOVO ESTRELA II;30;19;11;36.67
JARDIM EVEREST;104;66;38;36.54
LOTEAMENTO JARDIM DAS FLORES;11;7;4;36.36
PARQUE TERRAS DE SANTA MARIA;47;30;17;36.17
CHACARA RECREIO ALVORADA;25;16;9;36.0
SANTA EMILIA;84;54;30;35.71
LOTEAMENTO RECANTO DO SOL;59;38;21;35.59
JARDIM NOSSA SENHORA AUXILIADORA;390;252;138;35.38
VILA DA CONQUISTA;108;70;38;35.19
JARDIM NOVO CAMBUI;177;115;62;35.03
RESIDENCIAL FURLAN;20;13;7;35.0
CHACARA NOVA BOA VISTA;20;13;7;35.0
VILA INEMA;212;138;74;34.91
JARDIM INTERLAGOS;241;157;84;34.85
JARDIM VILLAGIO GHIRALDELLI;46;30;16;34.78
JARDIM SANTA CLARA DO LAGO I;46;30;16;34.78
VILA SAO PEDRO;203;134;69;33.99
JARDIM DAS COLINAS;59;39;20;33.9
JARDIM SAO JORGE;283;188;95;33.57
JARDIM BOA ESPERANCA;677;450;227;33.53
PARQUE MARIA DE LOURDES;39;26;13;33.33
CHACARA PLANALTO;15;10;5;33.33
JARDIM DAS FIGUEIRAS;24;16;8;33.33
CHACARAS ASSAY;27;18;9;33.33
JARDIM AMANDA 2;343;229;114;33.24
JARDIM SANTA FE;134;90;44;32.84
PARQUE DO HORTO;325;219;106;32.62
JARDIM PRIMAVERA;304;206;98;32.24
RESIDENCIAL RECANTO DO SOL;103;70;33;32.04
JARDIM SANTA ESMERALDA;250;170;80;32.0
VILA REAL CONTINUACAO;358;244;114;31.84
JARDIM DAS FIGUEIRAS II;44;30;14;31.82
LOTEAMENTO NOVA ALVORADA;41;28;13;31.71
JARDIM AMANDA I;201;138;63;31.34
JARDIM NOVA ESTRELA;16;11;5;31.25
JARDIM SAO SEBASTIAO;383;264;119;31.07
JARDIM SAO PEDRO;58;40;18;31.03
RESIDENCIAL ANAUA;42;29;13;30.95
