d.nom_localidade_fam;total_fam;n_risco;pct_risco
JARDIM BOA ESPERANCA;1028;30;2.92
VILA GUEDES;170;15;8.82
PARQUE DO HORTO;472;8;1.69
JARDIM SAO BENTO;441;5;1.13
JARDIM PRIMAVERA;427;5;1.17
JARDIM AMANDA II;477;3;0.63
JARDIM AMANDA;4325;3;0.07
JARDIM BRASIL;265;2;0.75
JARDIM NOVO ANGULO;961;2;0.21
JARDIM SANTA CLARA DO LAGO;526;2;0.38
JARDIM MONTE SINAI;263;2;0.76
JARDIM NOVA HORTOLANDIA I;41;2;4.88
JARDIM BOA ESPERENCA;2;1;50.0
LOTEAMENTO RECANTO DO SOL;87;1;1.15
JARDIM NOVO ESTRELA;233;1;0.43
JARDIM CAMPOS VERDES;493;1;0.2
JARDIM NOVA AMERICA;770;1;0.13
JARDIM CARMEM CRISTINA;98;1;1.02
JARDIM CONCEICAO;395;1;0.25
PARQUE RESIDENCIAL JOAO LUIZ;29;1;3.45
JARDIM ALINE;180;1;0.56
PARQUE ORTOLANDIA;237;1;0.42
MONTE SINAI;74;1;1.35
PARQUE GABRIEL;158;1;0.63
JARDIM SAO SEBASTIAO;500;1;0.2
ADVENTISTA CAMPINEIRO;91;1;1.1
RESIDENCIAL ANAUA;54;1;1.85
NOVO ANGULO;424;0;0.0
LOTEAMENTO D CASA;1;0;0.0
JRDIM SAO SEBASTIAO;1;0;0.0
LOT NOVO ANGULO;4;0;0.0
LOT REMANSO CAMPINEIRO;1;0;0.0
LOTEAMENTE NOVA ALVORADA;3;0;0.0
LOTEAMENTO ADVENTISTA CAMPINEIRO;48;0;0.0
PARAISO NOVO ANGULO;3;0;0.0
LOTEAMENTO FLAMBOYANT;1;0;0.0
NUC RES FURLAN;3;0;0.0
PAR;1;0;0.0
LOTEAMENTO JARDIM DAS FLORES;12;0;0.0
LOTEAMENTO JARDIM NOVO ANGULO;1;0;0.0
LOTEAMENTO JARDIM PRIMAVERA;3;0;0.0
LOTEAMENTO JARDIM VILA VERDE;1;0;0.0
LOTEAMENTO NOVA ALVORADA;37;0;0.0
JRDIM NOVA HORTOLANDIA;1;0;0.0
JRDIM NOVA AMERICA;1;0;0.0
PARQEU GABRIEL;1;0;0.0
JRDIM NOSSA SENHORA AUXILIADORA;2;0;0.0
JRDIM MONTE SINAI;1;0;0.0
PARQU PERON;1;0;0.0
JRDIM MIRANTE DE SUMARE;1;0;0.0
JRDIM INTERLAGOS;1;0;0.0
JRDIM ADELAIDE;1;0;0.0
NOVO ESTRELA;4;0;0.0
JRADIM DO LAGO;1;0;0.0
JOAO LUIZ;1;0;0.0
JD VILA VERDE;1;0;0.0
JD SAO BENTO;1;0;0.0
JD SANTA EMILIA;1;0;0.0
JD S RITA DE CASSIA;1;0;0.0
PARQUE BELLA VILLE;13;0;0.0
LOTEAMENTO NOVO ALVORADA;1;0;0.0
LOTEAMENTO NOVO ANGULO;26;0;0.0
LOTEAMENTO PRIMAVERA;1;0;0.0
MOVA AMERICA;1;0;0.0
NOVA HORTOLANDIA;113;0;0.0
NOVO CAMBUI;3;0;0.0
NUCLEO RES FURLAN;1;0;0.0
NOVA EUROPA;20;0;0.0
NOVA ESTRELA II;1;0;0.0
NOVA ESTRELA;1;0;0.0
NOVA BOA VISTA;1;0;0.0
NUCLEO RESIDENCIAL FURLA;1;0;0.0
NOVA AMERICA;87;0;0.0
NUCLEO RESIDENCIAL FURLAN;25;0;0.0
NOVA ALVORADA;1;0;0.0
NOV ANGULO;1;0;0.0
NOSSA SENHORA DE FATIMA;1;0;0.0
