d.nom_localidade_fam;agua;esgoto;ambos;total
JARDIM ADELAIDE;87;7;1;93
JARDIM AMANDA;15;27;3;39
JARDIM BOA ESPERANCA;9;35;6;38
JARDIM NOVA HORTOLANDIA;9;17;3;23
JARDIM SANTA FE;14;10;5;19
JARDIM SUMAREZINHO;8;11;0;19
MONTE SINAI;16;4;4;16
JARDIM NOSSA SENHORA AUXILIADORA;3;14;2;15
JARDIM MONTE SINAI;14;2;1;15
JARDIM NOVO ANGULO;5;9;0;14
PARQUE DO HORTO;1;13;1;13
NOVO ANGULO;5;4;1;8
JARDIM SAO SEBASTIAO;3;4;0;7
RESIDENCIAL RECANTO DO SOL;1;7;1;7
RECANTO DO SOL;2;7;2;7
NUCLEO SANTA IZABEL;4;2;0;6
NUCLEO RESIDENCIAL FURLAN;3;4;1;6
JARDIM SAO BENTO;3;3;0;6
LOTEAMENTO RECANTO DO SOL;0;6;0;6
JARDIM SANTA RITA DE CASSIA;0;6;0;6
VILA REAL CONTINUACAO;2;5;1;6
PARQUE PERON;3;2;0;5
JARDIM NOVO ESTRELA;0;5;0;5
REMANSO CAMPINEIRO;1;4;0;5
RESIDENCIAL FURLAN;3;2;0;5
JARDIM PRIMAVERA;3;4;2;5
JARDIM BOA VISTA;3;4;2;5
JARDIM NOVA AMERICA;2;3;0;5
PARQUE GABRIEL;4;2;2;4
JARDIM MINDA;2;3;1;4
VILA REAL;0;4;0;4
JARDIM DO LAGO;3;1;0;4
JARDIM NOSSA SENHORA DE FATIMA;1;2;0;3
JARDIM SANTA ESMERALDA;1;2;0;3
ADVENTISTA CAMPINEIRO;1;2;0;3
JARDIM AUXILIADORA;1;3;1;3
JARDIM SANTIAGO;1;2;0;3
JARDIM NOVA EUROPA;1;2;0;3
JARDIM AMANDA 2;0;3;0;3
PARQUE ORESTE ONGARO;0;3;0;3
CHACARA REYMAR;0;3;0;3
CHACARA PLANALTO;2;2;1;3
VILA DA CONQUISTA;2;1;0;3
JARDIM NOVA ESTRELA;0;3;0;3
BOA ESPERANCA;1;2;1;2
JARDIM SAO JORGE;0;2;0;2
