d.nom_localidade_fam;pessoas;familias
JARDIM AMANDA;168;164
JARDIM NOVA EUROPA;108;97
JARDIM NOVO ANGULO;53;50
JARDIM NOVA AMERICA;44;43
JARDIM NOVA HORTOLANDIA;41;38
JARDIM SANTIAGO;40;37
JARDIM CONCEICAO;38;36
JARDIM BOA ESPERANCA;34;34
PARQUE DO HORTO;32;30
JARDIM MONTE SINAI;31;26
JARDIM NOSSA SENHORA DE FATIMA;28;28
VILA REAL CONTINUACAO;28;26
JARDIM NOSSA SENHORA AUXILIADORA;22;22
JARDIM CAMPOS VERDES;22;21
JARDIM SAO BENTO;21;21
JARDIM SANTA ESMERALDA;21;21
JARDIM BRASIL;21;20
JARDIM SAO SEBASTIAO;20;20
JARDIM SANTA CLARA DO LAGO;20;19
JARDIM MINDA;20;20
JARDIM PRIMAVERA;20;20
NOVO ANGULO;19;18
JARDIM AMANDA II;19;18
JARDIM SUMAREZINHO;19;19
VILA SAO PEDRO;18;17
JARDIM ALINE;18;18
VILA REAL;18;18
REMANSO CAMPINEIRO;17;17
VILA INEMA;16;16
JARDIM ADELAIDE;16;16
JARDIM INTERLAGOS;16;15
JARDIM AMANDA 2;16;16
VILA GUEDES;16;16
PARQUE ORESTE ONGARO;15;14
JARDIM AMANDA I;13;13
JARDIM SANTA IZABEL;13;12
JARDIM SAO JORGE;13;13
PARQUE ORESTES ONGARO;12;12
VILA DA CONQUISTA;12;12
JARDIM AMANDA 1;12;11
PARQUE ORTOLANDIA;11;11
JARDIM TERRAS DE SANTO ANTONIO;11;10
SANTA EMILIA;10;9
JARDIM SANTANA;10;10
PARQUE DOS PINHEIROS;9;8
PARQUE PERON;9;9
JARDIM NOVO ESTRELA;8;7
JARDIM SANTA FE;8;8
NOVA HORTOLANDIA;7;7
JARDIM DO BOSQUE;7;7
JARDIM SANTA RITA DE CASSIA;7;7
PARQUE SANTO ANDRE;7;5
RESIDENCIAL RECANTO DO SOL;7;7
JARDIM EVEREST;6;6
JARDIM DAS FLORES;6;5
RECANTO DO SOL;6;6
JARDIM NOVO HORIZONTE;6;6
JARDIM SANTA LUZIA;6;6
JARDIM NOVO CAMBUI;5;5
ADVENTISTA CAMPINEIRO;5;5
JARDIM MALTA;5;5
JARDIM CARMEM CRISTINA;5;5
JARDIM ESTEFANIA;5;5
LOTEAMENTO RECANTO DO SOL;5;5
MONTE SINAI;5;5
VILA REAL SANTISTA;4;4
JARDIM RICARDO;4;4
JARDIM RESIDENCIAL VECCON BURITI;4;3
CHACARA REYMAR;4;4
PARQUE GABRIEL;4;4
JARDIM DAS COLINAS;4;4
JARDIM DAS FIGUEIRAS II;4;4
NOVA EUROPA;4;3
JARDIM DO LAGO;4;4
JARDIM SAO CAMILO;3;3
PARQUE TERRAS DE SANTA MARIA;3;3
RESIDENCIAL FURLAN;3;2
RESIDENCIAL JOAO LUIZ;3;3
LOTEAMENTO ADVENTISTA CAMPINEIRO;3;3
JARDIM VILLAGIO GHIRALDELLI;3;3
JARDIM SANTA CLARA DO LAGO II;3;3
JARDIM SANTA AMELIA;3;2
JARDIM MIRANTE DE SUMARE;3;3
JARDIM BOA VISTA;3;3
VILA CONQUISTA;2;2
CHACARAS LUZITANA;2;2
CHACARAS FAZENDA COELHO;2;2
NOVA AMERICA;2;2
JARDIM SO CAMILO;2;1
JARDIM DAS LARANJEIRAS;2;2
PARQUE RESIDENCIAL MARIA DE LOURDES;2;2
SUMAREZINHO;2;1
JARDIM NOVA ALVORADA;2;2
JARDIM ROSOLEM;2;2
JARDIM NOVO ESTRELA II;2;2
VILA SAO FRANCISCO;2;2
JARDIM ROSOLEN;2;2
JARDIM RESIDENCIAL FIRENZE;2;2
CHACARA NOVA BOA VISTA;2;2
RESIDENCIAL ANAUA;2;2
CHACARA PLANALTO;2;2
CONDOMINIO RESIDENCIAL VILLA FLORA;1;1
CHACARAS RECREIO 2000;1;1
PARQUE ORTOLANIDA;1;1
JARDIM AMNADA I;1;1
CONDOMINIO RESIDENCIAL VILA FLORA;1;1
PARQUE SAO MIGUEL;1;1
PARQUE TERRA DE SANTA MARIA;1;1
CONDOMINIO CHACARA GROTA AZUL;1;1
CHACARAS REYMAR;1;1
PARQUE PEROM;1;1
CONJUNTO HABITACIONAL JARDIM PRIMAVERA;1;1
