cod_familiar;loteamento;qtd_pessoas;renda_per_capita;score_vulnerab;D1_renda;D2_analfab;D3_idoso_desprot;D4_pcd_sem_apoio;D5_crianca_0_6;meses_desatual;cadastro_vencido_2anos
6180942617;JARDIM NOVA AMERICA;5.0;564.0;5;1;1;1;1;1;22;0
4011469440;VILA SAO FRANCISCO;5.0;0.0;4;1;1;1;0;1;1;0
4545922643;PARQUE DO HORTO;5.0;0.0;4;1;1;0;1;1;6;0
2608555969;JARDIM AMANDA;4.0;0.0;4;1;1;1;0;1;20;0
4128583715;JARDIM MONTE SINAI;4.0;0.0;4;1;1;1;1;0;7;0
4384659709;JARDIM SUMAREZINHO;4.0;0.0;4;1;1;1;0;1;20;0
8286554051;JARDIM AMANDA;4.0;0.0;4;1;1;1;1;0;17;0
8435454886;JARDIM BOA ESPERANCA;4.0;0.0;4;1;1;1;0;1;2;0
7180075140;JARDIM AMANDA 2;3.0;0.0;4;1;1;1;1;0;18;0
3610373849;JARDIM AMANDA;2.0;0.0;4;1;1;1;1;0;1;0
4310156789;PARQUE ORESTE ONGARO;2.0;0.0;4;1;1;1;1;0;8;0
4638626190;JARDIM MONTE SINAI;2.0;0.0;4;1;1;1;1;0;6;0
5938808545;VILA INEMA;2.0;0.0;4;1;1;1;1;0;2;0
6758969835;JARDIM AMANDA 2;2.0;0.0;4;1;1;1;1;0;2;0
8107152603;JARDIM NOVA EUROPA;2.0;0.0;4;1;1;1;1;0;0;0
8281480904;JARDIM BRASIL;2.0;0.0;4;1;1;1;1;0;6;0
1359700676;JARDIM AMANDA 2;1.0;0.0;4;1;1;1;1;0;20;0
2453898302;JARDIM CONCEICAO;1.0;0.0;4;1;1;1;1;0;3;0
3574369620;JARDIM NOVO HORIZONTE;1.0;0.0;4;1;1;1;1;0;0;0
4267802998;JD ALINE;1.0;0.0;4;1;1;1;1;0;19;0
5406104101;JARDIM NOVO ANGULO;1.0;0.0;4;1;1;1;1;0;8;0
6249454306;JARDIM NOVA EUROPA;1.0;0.0;4;1;1;1;1;0;8;0
6362639243;JARDIM MONTE SINAI;1.0;0.0;4;1;1;1;1;0;3;0
6505031391;VILA REAL CONTINUACAO;1.0;0.0;4;1;1;1;1;0;22;0
8425379539;JARDIM AMANDA;1.0;0.0;4;1;1;0;1;1;12;0
8792744842;JARDIM CONCEICAO;1.0;0.0;4;1;1;1;1;0;10;0
3935400497;JARDIM CAMPOS VERDES;6.0;6.0;4;1;0;1;1;1;1;0
2251774041;JARDIM BRASIL;5.0;17.0;4;1;1;0;1;1;16;0
