cod_familiar;loteamento;qtd_pessoas;renda_per_capita;score_vulnerab;D1_renda;D2_analfab;D3_idoso_desprot;D4_pcd_sem_apoio;D5_crianca_0_6;meses_desatual;cadastro_vencido_2anos
4387849282;JARDIM BOA ESPERANCA;2.0;0.0;4;1;1;1;1;0;26;1
6624355913;VILA INEMA;2.0;0.0;4;1;1;1;1;0;26;1
6911018765;JARDIM BOA ESPERANCA;1.0;0.0;4;1;1;1;1;0;28;1
6742776510;VILA SAO PEDRO;1.0;150.0;4;1;1;1;1;0;26;1
529437392;JARDIM AMANDA;2.0;759.0;4;1;1;1;1;0;37;1
3091875830;VILA REAL CONTINUACAO;4.0;0.0;3;1;1;0;0;1;37;1
5153695271;JARDIM BOA ESPERANCA;4.0;0.0;3;1;1;0;0;1;33;1
7631256012;JARDIM MIRANTE;4.0;0.0;3;1;0;1;0;1;38;1
4126592806;PARQUE ORESTES ONGARO;3.0;0.0;3;1;0;1;1;0;24;1
5399671573;JARDIM SUMAREZINHO;3.0;0.0;3;1;1;0;0;1;33;1
5615942363;JARDIM SANTIAGO;3.0;0.0;3;1;0;1;1;0;27;1
6514236782;JARDIM SANTIAGO;3.0;0.0;3;1;1;0;0;1;27;1
6958371763;JARDIM AMANDA;3.0;0.0;3;1;1;1;0;0;30;1
1886079358;VILA REAL CONTINUACAO;2.0;0.0;3;1;1;1;0;0;26;1
5542457525;JARDIM ESTEFANIA;2.0;0.0;3;1;0;0;1;1;48;1
6400367675;JARDIM AMANDA;2.0;0.0;3;1;1;0;0;1;35;1
7239424634;JARDIM NOSSA SENHORA AUXILIADORA;2.0;0.0;3;1;1;1;0;0;34;1
7301119038;JARDIM ALINE;2.0;0.0;3;1;1;0;1;0;41;1
3113693756;JARDIM NOVA EUROPA;1.0;0.0;3;1;1;1;0;0;27;1
3493798407;JARDIM NOVO ANGULO;1.0;0.0;3;1;1;1;0;0;26;1
4230911661;JARDIM SANTA CLARA DO LAGO;1.0;0.0;3;1;0;1;1;0;27;1
4396271506;PARQUE ORESTE ONGARO;1.0;0.0;3;1;1;1;0;0;26;1
4855399507;JARDIM SAO BENTO;1.0;0.0;3;1;0;1;1;0;26;1
4868559532;JARDIM NOVA AMERICA;1.0;0.0;3;1;0;1;1;0;27;1
4956100469;JARDIM CAMPOS VERDES;1.0;0.0;3;1;0;1;1;0;28;1
5164842572;JARDIM NOVA HORTOLANDIA;1.0;0.0;3;1;0;1;1;0;26;1
5391319030;VILA SAO PEDRO;1.0;0.0;3;1;0;1;1;0;25;1
5595413336;JARDIM NOVA AMERICA;1.0;0.0;3;1;0;1;1;0;24;1
5657945239;NOVO ANGULO;1.0;0.0;3;1;0;1;1;0;26;1
5777924077;RESIDENCIAL RECANTO DO SOL;1.0;0.0;3;1;0;1;1;0;26;1
6101416437;PARQUE DO HORTO;1.0;0.0;3;1;0;1;1;0;25;1
6236257337;JARDIM MINDA;1.0;0.0;3;1;1;0;1;0;26;1
6576150130;JARDIM AMANDA;1.0;0.0;3;1;1;1;0;0;26;1
6657322607;JARDIM NOVA EUROPA;1.0;0.0;3;1;1;0;1;0;27;1
6716275380;JARDIM SUMAREZINHO;1.0;0.0;3;1;0;1;1;0;26;1
6737602355;JARDIM SAO JORGE;1.0;0.0;3;1;0;1;1;0;26;1
