d.nom_localidade_fam;n
JARDIM AMANDA;66
JARDIM BOA ESPERANCA;15
JARDIM NOSSA SENHORA AUXILIADORA;9
JARDIM NOVO ANGULO;9
JARDIM AMANDA 2;9
JARDIM NOVA AMERICA;8
JARDIM ADELAIDE;7
JARDIM SAO BENTO;7
VILA REAL CONTINUACAO;7
JARDIM SAO JORGE;6
JARDIM NOSSA SENHORA DE FATIMA;6
VILA REAL;6
JARDIM NOVA HORTOLANDIA;6
JARDIM SANTIAGO;5
PARQUE DO HORTO;5
JARDIM SANTA CLARA DO LAGO;5
JARDIM PRIMAVERA;5
JARDIM SAO SEBASTIAO;5
NOVO ANGULO;5
JARDIM NOVA EUROPA;5
VILA SAO PEDRO;5
JARDIM CAMPOS VERDES;5
JARDIM AMANDA II;5
JARDIM ALINE;5
JARDIM AMANDA 1;5
PARQUE ORESTES ONGARO;4
JARDIM AMANDA I;4
JARDIM BRASIL;4
JARDIM INTERLAGOS;4
JARDIM CONCEICAO;4
SANTA EMILIA;3
JARDIM SANTA ESMERALDA;3
PARQUE MARIA DE LOURDES;2
PARQUE GABRIEL;2
JARDIM SANTA IZABEL;2
JARDIM SANTANA;2
VILA REAL SANTISTA;2
JARDIM SUMAREZINHO;2
LOTEAMENTO ADVENTISTA CAMPINEIRO;2
CHACARAS FAZENDA COELHO;2
JARDIM AUXILIADORA;2
VILA DA CONQUISTA;2
NOVA AMERICA;2
VILA INEMA;2
PARQUE PERON;2
REMANSO CAMPINEIRO;2
VILA GUEDES;2
PARQUE SANTO ANDRE;2
JARDIM MONTE SINAI;2
JARDIM MALTA;2
JARDIM MINDA;2
PARQUE TERRA DE SANTA MARIA;1
RESIDENCIAL FURLAN;1
NUCLEO RESIDENCIAL FURLAN;1
PARQUE TERRAS DE SANTA MARIA;1
VILA SAO FRANCISCO;1
PARQUE ORTOLANDIA;1
PARQUE SAO MIGUEL;1
PARQUE ORESTE ONGARO;1
ORESTES ONGARO;1
NOVA HORTOLANDIA;1
PARQUE RESIDENCIAL MARIA DE LOURDES;1
PARQUE HORTOLANDIA;1
NUCLEO SANTA IZABEL;1
ADVENTISTA CAMPINEIRO;1
LOTEAMENTO RECANTO DO SOL;1
JD AMANDA;1
CHACARAS HAVAI;1
CONJUNTO HABITACIONAL JARDIM PRIMAVERA;1
JARDIM AMANA;1
JARDIM BOA ESPERENCA;1
JARDIM BOA VISTA;1
JARDIM CARMEM CRISTINA;1
JARDIM DAS COLINAS;1
JARDIM DO LAGO;1
JARDIM EVEREST;1
JARDIM GHIRALDELLI;1
JARDIM LARANJEIRAS;1
JARDIM MIDA;1
JARDIM MIRANTE DE SUMARE;1
JARDIM NOSSA SENHORA DE LOURDES;1
JARDIM NOVA ESTRELA;1
JARDIM NOVA HORTOLANDIA II;1
JARDIM NOVO CAMBUI;1
JARDIM NOVO ESTRELA;1
JARDIM NOVO HORIZONTE;1
JARDIM RESIDENCIAL FIRENZE;1
CHACARA REYMAR;1
JARDIM SANTA CLARA DO LAGO I;1
JARDIM SANTA CLARA DO LAGO II;1
JARDIM SANTA FE;1
JARDIM SANTA RITA DE CASSIA;1
JARDIM RICARDO;1
