cod_familiar;faixa_renda;loteamento;qtd_pessoas;renda_total_declarada;renda_per_capita
7964057197;acima de 10 SM;PARQUE MARIA DE LOURDES;2.0;25558;12779.0
7952118803;acima de 10 SM;GOLDEN PARK RESIDENCE;2.0;21584;10792.0
7929943020;acima de 10 SM;JARDIM NOVA HORTOLANDIA;2.0;18452;9226.0
8315392247;acima de 10 SM;JARDIM ADELAIDE;2.0;18338;9169.0
8170315883;acima de 10 SM;PARQUE ORTOLANDIA;2.0;17028;8514.0
7984447110;acima de 10 SM;JARDIM TERRAS DE SANTO ANTONIO;2.0;16354;8177.0
8747393220;acima de 10 SM;JARDIM CONCEICAO;2.0;16240;8120.0
7926395536;acima de 10 SM;PARQEU GABRIEL;2.0;16160;8080.0
3655320965;acima de 10 SM;JARDIM AMANDA;2.0;15576;7788.0
6938688800;acima de 10 SM;REMANSO CAMPINEIRO;2.0;15324;7662.0
8466466762;acima de 10 SM;JARDIM RESIDENCIAL FIRENZE;3.0;21306;7102.0
7057357028;acima de 10 SM;REMANSO CAMPINEIRO;3.0;16263;5421.0
6089716855;acima de 10 SM;JARDIM SAO SEBASTIAO;3.0;16116;5372.0
8267796037;acima de 10 SM;JARDIM INERLAGOS;4.0;21248;5312.0
8325161639;acima de 10 SM;JARDIM NOVO CAMBUI;3.0;15909;5303.0
8500392150;acima de 10 SM;PARQUE MARI DE LOURDES;3.0;15210;5070.0
4975298660;acima de 10 SM;JARDIM SUMAREZINHO;4.0;18860;4715.0
20113805888;acima de 10 SM;VILA INEMA;4.0;17080;4270.0
7832081899;acima de 10 SM;JARDIM AUXILIADORA;4.0;17032;4258.0
6845568391;acima de 10 SM;JARDIM CAMPOS VERDES;4.0;16900;4225.0
20122262646;acima de 10 SM;VILA SAO FRANCISCO;4.0;16196;4049.0
8503732475;acima de 10 SM;JARDIM AMANDA;4.0;16172;4043.0
4737831859;acima de 10 SM;JARDIM AMANDA;5.0;20155;4031.0
8801145926;acima de 10 SM;VILA REAL CONTINUACAO;4.0;15420;3855.0
5598043009;acima de 10 SM;JARDIM AMANDA;4.0;15292;3823.0
20164840630;acima de 10 SM;JARDIM NOSSA SENHORA DE FATIMA;5.0;17435;3487.0
7038767836;acima de 10 SM;JARDIM AMANDA;5.0;16488;3297.6
20197914209;acima de 10 SM;JARDIM AMANDA II;5.0;15685;3137.0
7145852209;acima de 10 SM;JARDIM SANTA IZABEL;5.0;15596;3119.2
8501771899;acima de 10 SM;PARQUE TERRA DE SANTA MARIA;5.0;15370;3074.0
7978559718;acima de 10 SM;NOVA HORTOLANDIA;5.0;15330;3066.0
6919089238;acima de 10 SM;JARDIM SAO SEBASTIAO;8.0;15360;1920.0
6653341500;5 a 10 SM;VILA REAL;1.0;14844;14844.0
8199795972;5 a 10 SM;JARDIM NOSSA SENHORA DE FATIMA;1.0;9615;9615.0
7374214448;5 a 10 SM;JARDIM SAO SEBASTIAO;1.0;9514;9514.0
7301262264;5 a 10 SM;JARDIM NOVA ALVORADA;1.0;9251;9251.0
8325396350;5 a 10 SM;RESIDENCIAL RECANTO DO SOL;1.0;8956;8956.0
6619234283;5 a 10 SM;VILA INEMA;1.0;8246;8246.0
3073142355;5 a 10 SM;JARDIM CAMPOS VERDES;1.0;8170;8170.0
6919886251;5 a 10 SM;JARDIM AMANDA;1.0;7860;7860.0
20269347542;5 a 10 SM;JARDIM SANTA CANDIDA;1.0;7749;7749.0
1687128227;5 a 10 SM;VILA DA CONQUISTA;2.0;13824;6912.0
7894020338;5 a 10 SM;VILA GUEDES;2.0;13544;6772.0
6413898259;5 a 10 SM;JARDIM NOSSA SENHORA DE FATIMA;2.0;13374;6687.0
7762723307;5 a 10 SM;JARDIM TERRAS DE SANTO ANTONIO;2.0;13328;6664.0
8108941571;5 a 10 SM;JARDIM AUXILIADORA;2.0;12810;6405.0
7975247111;5 a 10 SM;JARDIM NOVA AMERICA;2.0;12762;6381.0
8063067185;5 a 10 SM;JARDIM SAO SEBASTIAO;2.0;12110;6055.0
8578743652;5 a 10 SM;JARDIM SAO SEBASTIAO;2.0;12022;6011.0
6717284404;5 a 10 SM;JARDIM NOSSA SENHORA DE FATIMA;2.0;11652;5826.0
20283309024;5 a 10 SM;PARQUE DO HORTO;2.0;11600;5800.0
7119983296;5 a 10 SM;VILA SAO FRANCISCO;2.0;11366;5683.0
8506034639;5 a 10 SM;JARDIM SAO JORGE;2.0;11248;5624.0
5146405964;5 a 10 SM;TERRA DE SANTA MARIA;2.0;11112;5556.0
7064024136;5 a 10 SM;JARDIM AMANDA;2.0;11042;5521.0
8055549800;5 a 10 SM;PARQUE MARIA DE LOURDES;2.0;10880;5440.0
7792699420;5 a 10 SM;CHACARA FAZENDA COELHO;2.0;10862;5431.0
3773012306;5 a 10 SM;VILA REAL;2.0;10858;5429.0
6271426999;5 a 10 SM;JARDIM NOVA AMERICA;2.0;10698;5349.0
8563182722;5 a 10 SM;JARDIM SUMAREZINHO;2.0;10636;5318.0
8733557179;5 a 10 SM;JARDIM SANTA IZABEL;2.0;10548;5274.0
8359230021;5 a 10 SM;JARDIM AMANDA;2.0;10270;5135.0
3211398520;5 a 10 SM;REMANSO CAMPINEIRO;2.0;10236;5118.0
7884434610;5 a 10 SM;RECANTO DO SOL;2.0;9912;4956.0
20016305736;5 a 10 SM;VILA SAO PEDRO;2.0;9912;4956.0
6800156558;5 a 10 SM;VILA SAO PEDRO;2.0;9894;4947.0
20068050291;5 a 10 SM;JARDIM SAO SEBASTIAO;3.0;14841;4947.0
8075271815;5 a 10 SM;JARDIM TERRAS DE SANTO ANTONIO;2.0;9888;4944.0
8642719052;5 a 10 SM;JARDIM MIRANTE DE SUMARE;2.0;9788;4894.0
20305131486;5 a 10 SM;JARDIM INTERLAGOS;2.0;9618;4809.0
7567500590;5 a 10 SM;JARDIM AUXILIADORA;2.0;9614;4807.0
5823137087;5 a 10 SM;JARDIM AMANDA II;2.0;9494;4747.0
3659747149;5 a 10 SM;JARDIM ADELAIDE;2.0;9482;4741.0
7850839013;5 a 10 SM;VILA INEMA;2.0;9388;4694.0
7779576710;5 a 10 SM;RESIDENCIAL RECANTO DO SOL;2.0;9382;4691.0
7457310827;5 a 10 SM;PARQUE RESIDENCIAL JOAO LUIZ;3.0;13917;4639.0
6323525666;5 a 10 SM;JARDIM TERRAS DE SANTO ANTONIO;2.0;9262;4631.0
6737480900;5 a 10 SM;JARDIM AMANDA;2.0;9258;4629.0
8711084103;5 a 10 SM;JARDIM NOVA AMERICA;2.0;9238;4619.0
